customer_no,owner_indic,acct_type,utilization,utilization_count
31,1,10,Low,3
31,1,52,High,1
32,1,10,High,2
32,1,10,Low,1
33,1,1,High,2
33,1,10,High,7
33,1,10,Low,8
33,2,10,High,1
33,2,10,Low,2
34,1,1,High,1
34,1,10,High,4
34,1,10,Low,1
34,2,10,High,1
35,1,1,High,1
35,1,2,High,1
35,1,10,High,1
35,1,10,Low,2
35,4,2,High,4
36,1,10,High,4
36,1,10,Low,4
37,1,1,High,3
37,2,10,High,1
37,4,1,High,1
38,1,10,Low,1
38,2,10,High,1
38,4,2,High,1
39,1,10,High,2
39,1,10,Low,2
39,2,10,High,3
39,2,10,Low,1
39,4,2,High,2
40,1,10,Low,3
40,2,10,High,2
41,1,1,High,1
41,1,10,High,3
41,1,10,Low,6
41,2,10,High,2
41,4,2,High,1
42,1,2,High,2
42,1,6,High,1
42,1,10,High,3
42,1,10,Low,4
42,3,0,High,1
42,3,6,High,1
42,3,12,High,3
43,1,0,High,1
43,1,1,High,15
43,1,3,High,1
43,1,5,High,1
43,1,7,High,6
43,1,10,High,4
43,1,10,Low,3
43,1,17,High,7
43,1,32,High,1
43,3,1,High,4
43,3,17,High,4
43,4,1,High,6
43,4,32,High,1
44,1,2,High,3
44,1,10,High,1
44,1,10,Low,3
44,4,2,High,3
45,1,1,High,1
45,1,2,High,5
45,1,10,High,9
45,1,10,Low,5
45,4,2,High,1
46,1,10,High,1
46,1,10,Low,2
47,1,10,High,1
48,1,1,High,6
48,1,5,High,13
48,1,6,Low,2
48,1,10,High,6
48,1,10,Low,10
48,4,5,High,1
48,4,35,Low,1
49,1,1,High,1
49,1,5,High,2
49,1,10,High,3
49,1,10,Low,3
49,1,13,Low,2
50,1,1,High,2
50,1,2,High,2
50,1,4,High,1
50,1,10,High,3
51,1,0,High,2
51,1,0,Low,2
51,1,1,High,6
51,1,2,High,2
51,1,5,High,9
51,1,6,High,1
51,1,6,Low,1
51,1,10,High,19
51,1,10,Low,2
51,1,32,High,1
51,2,10,High,5
51,2,10,Low,1
51,3,1,High,1
51,3,1,Low,1
51,3,2,Low,1
51,3,5,High,1
51,3,6,High,1
51,4,1,High,2
51,4,2,High,5
51,4,12,High,2
51,4,15,High,1
52,1,10,Low,7
53,1,1,High,1
53,1,2,High,1
53,1,10,High,14
53,1,10,Low,5
53,2,10,High,3
53,4,2,High,2
54,1,10,High,4
54,1,10,Low,1
54,2,10,High,1
54,4,32,High,1
55,1,10,Low,2
56,1,5,Low,1
56,1,8,High,1
56,1,10,Low,3
57,1,1,High,2
57,1,5,High,5
57,1,5,Low,1
57,1,6,Low,7
57,1,10,High,4
57,1,10,Low,4
57,1,12,Low,1
57,4,2,High,4
58,1,10,High,5
58,1,10,Low,5
59,1,0,High,1
59,1,6,High,1
59,1,10,High,6
59,1,10,Low,5
59,2,10,High,2
59,4,2,High,1
60,1,0,High,1
60,1,1,High,1
60,1,2,High,2
60,1,5,High,6
60,1,6,High,3
60,1,9,High,1
60,1,10,High,1
60,1,10,Low,3
60,3,3,High,1
60,4,2,High,2
60,4,3,High,1
60,4,5,High,1
61,1,10,Low,1
62,1,2,High,1
62,1,10,High,5
62,1,10,Low,9
62,1,12,High,1
62,4,2,High,1
63,1,10,High,1
63,1,10,Low,2
64,1,10,High,11
64,1,10,Low,10
64,2,10,High,3
64,2,10,Low,1
64,4,1,High,1
64,4,12,High,2
65,1,10,Balanced,1
65,1,10,High,9
65,1,10,Low,3
65,3,1,High,1
66,1,10,High,2
66,1,10,Low,2
66,2,10,High,1
67,1,0,Low,1
67,1,5,High,1
67,1,5,Low,1
67,1,6,Low,1
67,1,10,High,2
67,1,10,Low,1
67,1,55,Low,1
67,4,2,High,2
68,1,1,High,3
68,1,6,Low,1
68,1,10,High,9
68,1,10,Low,11
69,1,2,High,1
69,1,10,High,2
70,1,1,High,1
70,1,5,High,2
70,1,6,Low,2
70,1,10,High,6
70,1,10,Low,8
70,2,10,Low,1
70,4,2,High,1
70,4,3,High,1
70,4,12,High,1
71,1,2,High,1
71,1,8,High,1
71,1,10,High,3
71,1,10,Low,6
71,4,2,High,2
72,1,2,High,1
72,1,3,High,2
72,1,10,High,2
72,1,10,Low,5
72,1,12,High,1
72,4,1,High,1
72,4,2,High,3
72,4,12,High,1
73,1,5,High,5
73,1,5,Low,1
73,1,9,High,1
73,1,10,High,4
73,1,10,Low,4
73,2,10,Low,1
73,4,2,High,1
74,1,1,High,3
74,1,5,High,1
74,1,6,Low,1
74,1,10,High,6
74,1,10,Low,4
74,4,2,High,1
75,1,0,High,1
75,1,10,High,7
75,1,10,Low,4
75,1,12,High,2
75,1,15,High,1
76,1,1,High,2
76,1,4,High,4
76,1,5,High,4
76,1,5,Low,2
76,1,6,Low,1
76,1,10,High,3
76,1,10,Low,7
76,1,13,Low,1
76,1,15,High,1
76,1,15,Low,1
76,1,17,High,1
76,1,51,High,3
76,1,52,High,1
76,1,53,Low,1
76,4,51,High,1
77,1,1,High,1
77,1,2,High,1
77,1,6,Low,1
77,1,10,High,1
77,1,10,Low,5
77,1,12,High,1
77,2,10,High,2
77,2,10,Low,1
78,1,1,High,1
78,1,5,High,1
78,1,10,Low,1
78,4,1,High,1
79,1,1,High,2
79,1,2,High,1
79,1,5,High,1
79,1,6,High,1
79,1,6,Low,1
79,1,10,High,2
79,1,10,Low,4
79,4,2,High,1
80,1,1,High,1
80,1,2,High,1
80,1,10,High,5
80,1,10,Low,4
80,4,2,High,1
81,1,6,Low,1
81,1,10,High,2
81,1,10,Low,2
81,1,54,High,1
82,1,1,High,1
82,4,1,High,1
82,4,3,High,1
83,1,2,High,2
83,1,10,High,3
83,1,10,Low,3
84,1,1,High,1
84,1,10,High,5
84,1,10,Low,2
84,1,12,High,1
84,2,10,High,4
84,4,1,High,1
84,4,4,High,1
85,1,10,Low,1
85,4,2,High,3
85,4,3,High,4
86,1,1,High,2
86,1,2,High,10
86,1,10,High,2
86,1,10,Low,12
86,1,15,High,2
86,3,2,High,2
87,1,1,High,2
87,1,10,High,4
87,1,10,Low,10
87,4,51,High,4
88,1,1,High,4
88,1,6,High,2
88,1,6,Low,6
88,1,10,High,2
88,1,10,Low,8
88,3,2,High,4
88,4,1,High,2
88,4,2,High,2
88,4,3,High,2
89,1,1,High,10
89,1,5,High,6
89,1,6,Low,4
89,1,10,High,8
89,1,10,Low,8
89,4,1,High,4
90,1,1,High,1
90,1,2,High,1
90,1,5,High,2
90,1,10,High,2
90,1,10,Low,6
90,1,15,High,1
90,1,32,High,1
90,1,52,High,1
90,3,2,High,1
90,4,2,High,1
90,4,3,High,1
90,4,5,High,1
90,4,12,High,1
91,1,2,High,1
91,1,10,Low,2
91,4,2,High,1
92,1,2,High,1
92,1,10,High,2
92,1,10,Low,7
93,1,10,Low,2
94,1,2,High,1
95,1,5,High,1
95,1,5,Low,2
95,1,6,Low,3
95,1,10,High,1
95,1,10,Low,2
95,1,13,Low,1
96,1,5,High,1
96,1,10,Balanced,1
96,1,10,High,1
96,1,10,Low,5
96,1,13,Low,1
97,1,5,High,2
97,1,10,High,1
97,1,10,Low,2
98,1,0,Low,1
98,1,1,High,5
98,1,6,Low,8
98,1,10,Balanced,1
98,1,10,High,3
98,1,10,Low,2
98,2,10,High,1
99,1,1,High,1
99,1,6,Low,3
99,1,10,Balanced,1
99,1,10,Low,4
100,1,0,Low,1
100,1,5,High,2
100,1,6,Low,1
100,1,10,Balanced,1
100,1,10,Low,4
101,1,10,Low,3
102,1,0,High,1
102,1,10,Balanced,1
102,1,10,Low,3
103,1,0,High,1
103,1,6,Low,1
103,1,10,Balanced,1
103,1,10,High,2
103,1,10,Low,5
103,4,2,High,1
104,1,1,High,1
104,1,10,Low,1
104,1,13,Low,1
105,1,5,High,1
105,1,10,High,1
105,1,10,Low,3
106,1,10,Low,6
107,1,6,Low,3
107,1,10,High,2
107,1,13,Low,1
108,1,10,Balanced,1
108,1,10,High,1
108,1,10,Low,10
108,2,10,Low,1
109,1,10,Low,1
110,1,0,Low,1
110,1,2,High,3
110,1,5,High,4
110,1,5,Low,2
110,1,6,High,1
110,1,6,Low,2
110,1,10,High,8
110,1,10,Low,4
110,4,1,High,1
110,4,2,High,2
111,1,10,Balanced,2
111,1,10,High,1
111,1,10,Low,12
111,2,10,Low,2
112,1,5,High,2
112,1,6,Low,2
112,1,10,High,1
112,1,10,Low,4
113,1,10,High,2
113,1,10,Low,6
114,1,0,High,1
114,1,5,High,2
114,1,6,Low,1
114,1,10,High,1
114,1,10,Low,2
114,1,13,Low,1
115,1,5,High,1
115,1,10,Balanced,1
115,1,10,High,1
115,1,10,Low,2
115,1,13,Low,2
116,1,10,Low,1
116,1,12,High,1
117,1,1,High,2
117,1,10,Low,2
117,1,13,Low,1
118,1,6,Low,3
118,1,7,High,3
118,1,10,High,5
118,1,10,Low,7
118,2,10,Low,1
119,1,1,High,1
119,1,5,Low,1
119,1,10,High,4
120,1,1,High,2
120,1,10,High,1
120,1,10,Low,1
120,1,13,Low,1
120,4,5,High,1
121,1,10,High,1
121,1,10,Low,1
122,1,1,Low,1
122,1,6,Low,2
122,1,10,High,1
122,1,10,Low,4
122,1,13,Low,1
123,1,5,High,1
123,1,5,Low,1
123,1,6,Low,1
123,1,10,Balanced,1
123,1,10,High,1
123,1,10,Low,2
123,1,13,Low,1
123,3,2,High,1
124,1,10,High,3
124,1,10,Low,1
125,1,1,High,1
125,1,2,High,1
125,1,3,High,1
125,1,6,Low,1
125,1,10,Balanced,1
125,1,10,High,4
125,1,10,Low,6
125,1,13,Low,1
126,1,1,High,1
126,1,1,Low,1
126,1,6,Low,1
126,1,7,Low,3
126,1,10,High,3
126,1,10,Low,1
126,4,5,Low,1
127,1,2,High,1
127,1,5,High,1
127,1,6,Low,1
127,1,10,High,1
127,1,10,Low,3
128,1,5,Low,1
128,1,6,Low,3
129,1,2,High,5
129,1,2,Low,1
129,1,4,Low,1
129,1,6,High,1
129,1,10,High,1
129,1,10,Low,1
129,1,51,High,5
130,1,5,High,1
130,1,10,High,1
130,1,10,Low,3
131,1,6,Low,3
131,1,10,High,1
131,1,10,Low,1
131,4,13,Low,1
132,1,5,High,1
132,1,10,Balanced,1
132,1,10,Low,4
133,1,6,Low,1
133,1,10,Low,1
133,2,10,Low,1
133,4,1,High,1
133,4,2,High,1
134,1,1,High,2
134,1,6,Low,4
134,1,10,High,10
134,1,10,Low,3
134,1,15,High,2
134,1,15,Low,1
134,1,17,High,4
135,1,5,High,3
135,1,10,Balanced,1
135,1,10,High,3
135,1,10,Low,5
136,1,10,High,1
136,1,10,Low,2
137,1,10,Low,1
138,1,6,Low,1
138,1,10,Low,1
139,1,10,Balanced,1
139,1,10,Low,4
140,1,1,High,2
140,1,5,High,1
140,1,5,Low,1
140,1,6,Low,2
140,1,10,High,2
140,1,10,Low,7
140,4,5,Low,1
141,1,1,High,2
141,1,2,High,1
141,1,6,Low,1
141,1,9,High,2
141,1,10,High,3
141,1,10,Low,5
141,2,10,High,1
141,2,10,Low,1
141,4,2,High,1
142,1,5,High,1
142,1,10,Low,1
143,1,1,High,1
143,1,6,Low,3
143,1,10,Low,3
143,4,1,High,1
143,4,2,High,1
144,1,0,High,1
144,1,5,High,1
144,1,10,Balanced,1
144,1,10,High,1
144,1,10,Low,5
145,1,10,Low,2
146,1,6,Low,13
147,1,0,High,2
147,1,1,High,1
147,1,5,High,1
147,1,6,Low,3
147,1,10,Balanced,1
147,1,10,High,1
147,1,10,Low,3
148,1,0,High,2
148,1,1,Low,1
148,1,5,High,2
148,1,10,High,1
148,1,10,Low,2
149,1,2,High,1
149,1,10,Balanced,1
149,1,10,High,2
149,1,10,Low,2
150,1,10,Low,3
151,1,5,High,1
151,1,5,Low,1
151,1,6,Low,2
151,1,10,High,1
151,1,10,Low,1
151,1,13,Low,1
152,1,5,High,1
152,1,5,Low,1
152,1,10,Balanced,1
152,1,10,High,4
152,1,10,Low,4
153,1,5,High,2
153,1,10,High,1
153,1,10,Low,5
153,1,12,High,1
154,1,7,High,1
154,1,10,Low,1
155,1,6,Low,2
155,1,10,Low,1
156,1,6,Low,1
156,1,8,High,1
156,1,10,Low,1
157,1,5,High,4
157,1,6,Low,1
157,1,10,Balanced,1
157,1,10,High,1
157,1,10,Low,8
157,1,13,Low,1
157,2,10,High,1
157,4,2,High,1
158,1,10,Low,3
158,1,13,Low,2
159,1,5,High,1
159,1,10,Low,2
159,1,13,Low,2
160,1,10,High,1
160,1,10,Low,2
161,1,10,Balanced,1
161,1,10,Low,1
162,1,10,Low,1
163,1,10,Low,8
164,1,10,Low,2
165,1,0,Low,1
165,1,6,Low,3
165,1,10,Low,1
166,1,0,Low,1
166,1,1,High,2
166,1,5,Low,1
166,1,6,Low,4
166,1,10,High,5
166,1,10,Low,1
166,1,13,Low,2
166,1,51,High,1
166,4,13,Low,1
167,1,0,High,1
167,1,5,High,1
167,1,10,Balanced,1
167,1,10,High,1
167,1,10,Low,2
168,1,0,Low,1
168,1,1,High,1
168,1,3,High,1
168,1,5,High,2
168,1,5,Low,1
168,1,6,Low,1
168,1,10,Balanced,1
168,1,10,High,4
168,1,10,Low,6
168,2,10,High,1
169,1,10,High,1
169,1,10,Low,2
169,1,13,Low,3
170,1,0,High,1
170,1,6,Low,1
170,1,10,Low,2
171,1,10,Low,4
172,1,10,Low,3
173,1,5,High,6
173,1,5,Low,1
173,1,6,Low,1
173,1,10,Balanced,1
173,1,10,High,2
173,1,10,Low,2
174,1,6,Low,1
174,1,10,Low,1
175,1,1,High,2
175,1,6,Low,5
175,1,10,Low,1
175,1,13,Low,1
176,1,1,High,1
176,1,2,High,3
176,1,5,High,16
176,1,5,Low,5
176,1,10,High,10
176,1,10,Low,2
176,1,12,Low,1
176,4,0,High,1
177,1,1,High,1
177,1,10,High,3
177,1,10,Low,2
177,4,1,High,1
178,1,10,High,1
178,1,10,Low,2
178,1,13,Low,1
179,1,5,Low,2
179,1,6,Low,3
179,1,13,Low,4
180,1,5,Low,1
180,1,6,Low,1
180,1,13,Low,1
181,1,0,High,1
181,1,5,High,1
181,1,10,Balanced,1
181,1,10,High,2
181,1,10,Low,2
182,1,5,High,1
182,1,8,High,1
182,1,10,Low,3
182,1,12,High,1
182,1,13,Low,1
183,1,0,High,1
183,1,10,Low,2
183,1,56,Low,1
184,1,1,High,1
184,1,5,High,1
184,1,10,High,2
184,1,10,Low,5
185,1,6,Low,3
185,1,10,High,6
185,1,10,Low,2
185,1,13,Low,1
186,1,5,High,2
186,1,10,High,4
186,1,10,Low,1
187,1,10,High,2
188,1,5,High,2
188,1,10,Low,3
189,1,6,Low,2
189,1,7,High,1
190,1,5,High,1
190,1,6,Low,4
190,1,10,Low,1
191,1,10,Balanced,1
191,1,10,High,1
191,1,10,Low,2
192,1,1,High,4
192,1,10,Balanced,1
192,1,10,High,3
192,1,10,Low,5
192,1,13,Low,1
193,1,6,Low,1
193,1,10,Low,1
193,1,13,Low,2
194,1,1,High,1
194,1,2,High,1
194,1,6,Low,3
194,1,10,High,1
194,1,10,Low,3
195,1,10,Low,2
196,1,10,Low,3
196,4,2,High,1
196,4,13,Low,1
197,1,6,Low,9
197,1,10,High,1
197,1,10,Low,7
197,4,1,High,1
197,4,13,Low,2
198,1,1,High,1
198,1,7,High,4
198,1,10,High,1
198,1,10,Low,2
199,1,1,High,1
199,1,5,Low,2
199,1,6,Low,4
199,1,7,High,6
199,1,7,Low,2
199,1,10,High,2
199,1,10,Low,1
199,4,5,High,2
200,1,10,High,3
200,1,10,Low,2
200,1,13,Low,1
201,1,10,High,5
201,1,10,Low,8
202,1,1,High,2
202,1,10,Balanced,1
202,1,10,High,1
202,1,10,Low,8
202,1,13,Low,1
203,1,10,High,5
203,1,10,Low,3
204,1,5,High,1
204,1,6,Low,2
204,1,10,Balanced,1
204,1,10,High,1
204,1,10,Low,2
205,1,10,High,2
205,1,10,Low,6
206,1,1,High,1
206,1,2,High,1
206,1,6,Low,1
206,1,10,High,1
206,1,10,Low,2
206,1,13,Low,1
207,1,0,High,1
207,1,5,High,1
207,1,10,Balanced,1
207,1,10,Low,5
207,1,13,Low,1
207,4,8,High,1
208,1,1,High,1
208,1,5,High,1
208,1,10,High,2
208,1,10,Low,2
209,1,5,High,1
209,1,10,High,10
209,1,10,Low,6
209,2,10,Low,1
210,1,8,High,1
210,1,10,Low,2
211,1,5,Low,3
211,1,6,Low,1
211,1,10,High,1
211,1,10,Low,6
211,2,10,High,1
212,1,5,High,1
212,1,6,Low,1
212,1,10,Low,3
212,1,13,Low,1
213,1,1,High,3
213,1,6,Low,3
213,1,10,High,3
213,1,10,Low,4
213,4,1,High,2
214,1,10,Low,1
214,4,2,High,1
214,4,5,High,2
215,1,5,Low,2
215,1,10,High,2
215,1,10,Low,1
215,1,13,Low,2
216,1,6,Low,2
216,1,10,Low,2
217,1,5,High,2
217,1,10,High,1
217,1,10,Low,1
217,4,13,Low,1
218,1,1,High,1
218,1,6,Low,2
218,1,10,Balanced,1
218,1,10,Low,2
218,1,13,Low,1
218,4,13,Low,1
219,1,1,Low,1
219,1,6,Low,1
219,1,10,High,2
219,1,10,Low,1
220,1,1,High,2
220,1,6,Low,5
220,1,10,High,1
220,1,10,Low,1
221,1,5,High,1
221,1,10,Low,2
222,1,1,High,2
222,1,10,High,1
222,1,10,Low,4
223,1,10,Low,5
224,1,1,High,1
224,1,6,Low,2
224,1,7,High,7
224,1,10,Low,4
225,1,0,High,2
225,1,5,High,1
225,1,10,High,1
226,1,6,Low,1
226,1,10,Low,1
226,1,13,Low,1
227,1,6,Low,1
227,1,7,High,3
227,1,10,Low,1
227,1,13,Low,1
228,1,10,Balanced,1
228,1,10,Low,3
228,1,13,Low,1
229,1,1,High,1
229,1,2,High,1
229,1,5,High,2
229,1,10,High,1
229,1,10,Low,4
229,1,32,High,1
230,1,1,Low,1
230,1,5,High,2
230,1,6,Low,1
230,1,10,High,1
230,1,10,Low,1
231,1,0,Low,1
231,1,2,High,1
231,1,6,Low,1
231,1,10,High,1
231,1,10,Low,4
231,1,13,Low,3
232,1,5,High,1
232,1,10,Balanced,1
232,1,10,High,2
232,1,10,Low,4
233,1,1,High,2
233,1,6,Low,2
233,1,10,High,1
233,1,10,Low,7
233,1,13,Low,2
234,1,5,High,1
234,1,6,Low,1
235,1,5,High,2
235,1,5,Low,1
235,1,10,High,2
235,1,10,Low,2
235,1,32,High,1
235,3,5,High,1
236,1,1,High,1
236,1,10,Low,2
237,1,6,Low,1
238,1,1,High,1
238,1,5,High,1
238,1,6,Low,3
238,1,10,High,3
238,1,10,Low,9
239,1,0,Low,1
239,1,10,Balanced,1
239,1,10,Low,5
240,1,5,High,4
240,1,5,Low,1
240,1,6,Low,1
240,1,10,High,1
240,1,10,Low,4
240,1,13,Low,2
241,1,10,Balanced,1
241,1,10,Low,3
241,4,1,High,1
242,1,0,High,2
242,1,6,Low,1
243,1,10,Balanced,1
243,1,10,High,1
243,1,10,Low,3
244,1,1,High,2
244,1,5,High,1
244,1,5,Low,2
244,1,6,Low,9
244,1,7,High,6
244,1,10,High,2
244,1,10,Low,2
244,1,13,Low,3
245,1,2,High,1
245,1,5,High,1
245,1,5,Low,1
245,1,10,Low,6
246,1,0,High,1
246,1,1,High,1
246,1,8,High,1
246,1,10,High,1
246,1,10,Low,2
247,1,0,High,1
247,1,5,High,2
247,1,5,Low,2
247,1,6,Low,3
247,1,10,Balanced,1
247,1,10,High,1
247,1,10,Low,8
247,1,13,Low,3
247,4,2,High,1
248,1,1,High,1
248,1,5,High,2
248,1,6,Low,7
248,1,10,High,2
248,1,10,Low,2
248,2,10,Low,2
249,1,0,High,1
249,1,1,High,1
249,1,5,High,1
249,1,10,Balanced,1
249,1,10,High,3
249,1,10,Low,8
249,4,1,High,1
250,1,5,High,1
250,1,10,Low,2
251,1,2,High,2
251,1,5,High,3
251,1,5,Low,1
251,1,10,High,1
251,1,10,Low,3
251,1,13,Low,1
252,1,10,Balanced,1
252,1,10,Low,1
252,1,12,High,1
253,1,0,High,1
253,1,1,High,1
253,1,5,Low,1
253,1,6,Low,1
253,1,10,Low,2
254,1,1,High,1
254,1,6,Low,2
254,1,10,Balanced,1
254,1,10,Low,1
255,1,1,High,1
255,1,5,High,2
255,1,10,Low,4
255,1,13,Low,1
255,1,32,High,1
256,1,1,High,2
256,1,5,High,1
256,1,5,Low,1
256,1,6,Low,1
256,1,10,High,1
256,1,10,Low,1
256,4,2,High,3
257,1,0,High,1
257,1,2,High,2
257,1,6,Low,4
257,1,10,Low,15
257,1,12,Low,1
257,4,12,Low,1
258,1,5,High,1
258,1,10,Low,1
259,1,10,Balanced,1
259,1,10,Low,3
260,1,5,Low,2
260,1,10,High,8
260,1,10,Low,1
260,1,17,High,1
261,1,10,Low,2
261,4,13,Low,1
262,1,5,Low,1
262,1,10,High,2
262,1,10,Low,2
262,4,13,Low,1
263,1,6,Low,2
263,1,10,Low,6
264,1,10,Balanced,1
264,1,10,High,1
264,1,10,Low,3
265,1,5,High,2
265,1,6,Low,1
265,1,10,High,2
265,1,10,Low,4
265,1,13,Low,2
266,1,10,Balanced,1
267,1,1,High,3
267,1,7,High,2
267,1,10,Balanced,1
267,1,10,High,2
267,1,10,Low,4
268,1,10,Balanced,1
268,1,10,Low,4
269,1,1,High,1
269,1,6,Low,1
269,1,10,Low,1
269,1,17,High,2
269,3,17,High,1
269,4,17,High,3
270,1,0,High,1
270,1,1,High,2
270,1,5,High,4
270,1,10,High,2
270,1,10,Low,2
271,1,0,High,1
271,1,2,High,1
271,1,5,Low,1
271,1,6,Low,1
271,1,10,Low,1
271,1,13,Low,2
272,1,10,High,3
272,1,10,Low,1
273,1,2,High,2
273,1,10,High,1
273,1,10,Low,4
274,1,1,High,1
274,1,5,High,1
274,1,6,Low,4
274,1,10,Balanced,1
274,1,10,High,1
274,1,10,Low,1
275,1,10,Low,3
276,1,10,High,5
276,1,10,Low,1
276,4,2,High,2
276,4,5,High,1
277,1,5,High,1
277,1,10,Low,4
278,1,0,High,2
278,1,5,High,2
278,1,10,Low,4
279,1,6,Low,1
279,1,10,Balanced,1
279,1,10,Low,1
280,1,10,Low,5
281,1,10,High,1
281,1,10,Low,1
281,4,2,High,1
282,1,0,High,1
282,1,1,High,2
282,1,6,Low,1
282,1,10,High,2
282,1,10,Low,5
282,4,1,High,1
283,1,5,High,2
283,1,10,Low,2
284,1,10,Low,4
285,1,0,High,1
285,1,10,Low,1
285,4,0,Low,2
286,1,10,Low,3
286,1,13,Low,1
287,1,0,High,1
287,1,2,High,1
287,1,5,High,1
287,1,6,Low,1
287,1,10,High,1
287,1,13,Low,2
288,1,0,High,1
288,1,8,High,1
288,1,8,Low,1
288,1,10,Low,2
289,1,10,Low,3
290,1,6,Low,3
290,1,10,High,2
291,1,1,High,1
291,1,6,Low,1
291,1,10,High,1
291,1,10,Low,2
291,1,13,Low,1
292,1,0,Low,1
292,1,2,High,1
292,1,6,Low,1
292,1,10,High,5
292,1,10,Low,2
293,1,5,High,3
293,1,10,Balanced,1
293,1,10,High,2
293,1,10,Low,3
293,1,12,High,1
293,4,5,High,1
294,1,2,High,2
294,1,6,Low,3
294,1,10,High,2
294,1,10,Low,5
295,1,10,High,1
295,1,10,Low,7
296,1,10,Balanced,1
296,1,10,Low,2
296,1,13,Low,1
297,1,10,Low,3
298,1,6,Low,3
298,1,10,Low,2
299,1,5,High,1
299,1,5,Low,1
299,1,6,Low,2
299,1,10,High,3
299,1,10,Low,6
299,1,13,Low,1
300,1,10,Low,1
300,1,12,High,1
300,4,1,High,2
301,1,1,High,2
301,1,5,High,3
301,1,5,Low,1
301,1,6,Low,1
301,1,10,High,3
301,1,10,Low,5
301,1,13,Low,1
301,4,5,High,1
302,1,2,High,1
302,1,10,High,7
302,1,10,Low,2
303,1,6,Low,1
304,1,10,Low,3
305,1,1,High,2
305,1,2,High,1
305,1,10,High,1
305,1,10,Low,1
305,1,13,Low,1
306,1,5,High,1
306,1,10,High,2
306,1,10,Low,5
306,1,12,Low,1
306,1,13,Low,1
307,1,5,High,1
307,1,10,Balanced,1
307,1,10,Low,2
308,1,1,High,1
308,1,6,Low,3
308,1,10,Low,2
308,4,13,Low,1
309,1,1,High,3
309,1,10,Balanced,1
309,1,10,High,6
309,1,10,Low,4
310,1,0,High,1
310,1,5,High,2
310,1,6,Low,1
310,1,10,Balanced,1
310,1,10,High,1
310,1,10,Low,4
311,1,10,High,2
311,1,10,Low,3
312,1,10,Balanced,1
312,1,10,Low,5
312,1,12,High,1
313,1,9,High,1
313,1,10,Balanced,1
313,1,10,High,4
313,1,10,Low,9
314,1,6,Low,1
314,1,53,High,1
315,1,10,High,4
316,1,1,High,1
316,1,7,Low,2
316,1,10,High,3
316,1,10,Low,2
316,1,13,Low,1
317,1,5,High,1
317,1,6,Low,1
317,1,10,Low,1
318,1,1,High,1
318,1,10,Balanced,1
318,1,10,High,4
318,1,10,Low,9
319,1,6,Low,6
