customer_no,acct_type,owner_indic,cur_balance_amt
51,5,3,114465
51,6,1,0
51,6,3,79680
51,10,1,494364
51,10,2,8503
51,12,4,88678
51,15,4,89431
51,32,1,1219201
52,10,1,16715
53,1,1,0
53,2,1,0
53,2,4,9500000
53,10,1,98416
53,10,2,54085
54,10,1,95597
54,10,2,0
54,32,4,199963
55,10,1,11638
56,5,1,0
56,8,1,188476
56,10,1,37284
57,1,1,57078
57,2,4,6769438
57,5,1,470061
57,6,1,29652
57,10,1,213992
57,12,1,0
58,10,1,89066
59,0,1,0
59,2,4,6900000
59,6,1,0
59,10,1,349550
59,10,2,0
60,0,1,32339854
60,1,1,0
60,2,1,0
60,2,4,6444017
60,3,3,13675434
60,3,4,0
60,5,1,0
60,5,4,3559858
60,6,1,52421
60,9,1,0
60,10,1,91357
61,10,1,39916
62,2,1,0
62,2,4,4261280
62,10,1,94330
62,12,1,0
63,10,1,9783
64,1,4,2219338
64,10,1,202035
64,10,2,50302
64,12,4,0
65,1,3,0
65,10,1,484853
66,10,1,75856
66,10,2,0
67,0,1,0
67,2,4,608524
67,5,1,195944
67,6,1,0
67,10,1,121320
67,55,1,0
68,1,1,446154
68,6,1,0
68,10,1,59403
69,2,1,2441846
69,10,1,133646
70,1,1,0
70,2,4,0
70,3,4,0
70,5,1,0
70,6,1,0
70,10,1,23686
70,10,2,0
70,12,4,-11805
71,2,1,0
71,2,4,5887513
71,8,1,0
71,10,1,89699
72,1,4,322112
72,2,1,816591
72,2,4,2863523
72,3,1,0
72,10,1,0
72,12,1,0
72,12,4,0
73,2,4,4434365
73,5,1,0
73,9,1,0
73,10,1,28341
73,10,2,4764
74,1,1,89396
74,2,4,0
74,5,1,0
74,6,1,0
74,10,1,41534
75,0,1,158673
75,10,1,189666
75,12,1,839122
75,15,1,0
76,1,1,0
76,4,1,0
76,5,1,0
76,6,1,0
76,10,1,96297
76,13,1,0
76,15,1,359141
76,17,1,0
76,51,1,0
76,51,4,355164
76,52,1,0
76,53,1,0
77,1,1,0
77,2,1,2074718
77,6,1,0
77,10,1,61934
77,10,2,6121
77,12,1,0
78,1,1,0
78,1,4,417389
78,5,1,0
78,10,1,-649
79,1,1,1149104
79,2,1,0
79,2,4,0
79,5,1,0
79,6,1,0
79,10,1,19380
80,1,1,0
80,2,1,0
80,2,4,0
80,10,1,-3434
81,6,1,0
81,10,1,67498
81,54,1,0
82,1,1,0
82,1,4,296145
82,3,4,9609202
83,2,1,708187
83,10,1,282588
84,1,1,85616
84,1,4,0
84,4,4,0
84,10,1,153877
84,10,2,53310
84,12,1,0
85,2,4,0
85,3,4,14474213
85,10,1,-101
86,1,1,0
86,2,1,0
86,2,3,3224044
86,10,1,-1394
86,15,1,1339510
87,1,1,0
87,10,1,934112
87,51,4,1338652
88,1,1,1496038
88,1,4,0
88,2,3,0
88,2,4,7502342
88,3,4,5076212
88,6,1,0
88,10,1,65520
89,1,1,4664680
89,1,4,0
89,5,1,361996
89,6,1,0
89,10,1,28548
90,1,1,0
90,2,1,0
90,2,3,0
90,2,4,0
90,3,4,25247384
90,5,1,-534740
90,5,4,0
90,10,1,0
90,12,4,0
90,15,1,10098623
90,32,1,0
90,52,1,828969
91,2,1,5542099
91,2,4,0
91,10,1,55796
92,2,1,2836916
92,10,1,50738
93,10,1,75523
94,2,1,2282736
95,5,1,89910
95,6,1,31830
95,10,1,48108
95,13,1,40004
96,5,1,266284
96,10,1,152894
96,13,1,0
97,5,1,307679
97,10,1,100945
98,0,1,45
98,1,1,0
98,6,1,0
98,10,1,67156
98,10,2,-204
99,1,1,84640
99,6,1,0
99,10,1,12278
100,0,1,0
100,5,1,334609
100,6,1,0
100,10,1,99816
101,10,1,236
102,0,1,106726
102,10,1,6756
103,0,1,0
103,2,4,469977
103,6,1,0
103,10,1,27978
104,1,1,0
104,10,1,0
104,13,1,0
105,5,1,42154
105,10,1,77079
106,10,1,152076
107,6,1,27982
107,10,1,61854
107,13,1,0
108,10,1,89513
108,10,2,0
109,10,1,11262
110,0,1,0
110,1,4,0
110,2,1,3165671
110,2,4,0
110,5,1,562109
110,6,1,84552
110,10,1,509070
111,10,1,4386
111,10,2,0
112,5,1,101705
112,6,1,0
112,10,1,46296
113,10,1,67881
114,0,1,0
114,5,1,231299
114,6,1,0
114,10,1,6738
114,13,1,0
115,5,1,252076
115,10,1,100482
115,13,1,19848
116,10,1,7089
116,12,1,0
117,1,1,234895
117,10,1,51088
117,13,1,0
118,6,1,8750
118,7,1,0
118,10,1,319552
118,10,2,18580
119,1,1,3821924
119,5,1,0
119,10,1,44499
120,1,1,113183
120,5,4,103492
120,10,1,0
120,13,1,0
121,10,1,159736
122,1,1,0
122,6,1,2870
122,10,1,133590
122,13,1,-3810
123,2,3,0
123,5,1,0
123,6,1,0
123,10,1,11178
123,13,1,0
124,10,1,61121
125,1,1,0
125,2,1,246430
125,3,1,4367035
125,6,1,0
125,10,1,62850
125,13,1,0
126,1,1,204835
126,5,4,0
126,6,1,0
126,7,1,0
126,10,1,96242
127,2,1,1396824
127,5,1,0
127,6,1,0
127,10,1,46789
128,5,1,63384
128,6,1,16750
129,2,1,230009
129,4,1,0
129,6,1,55329
129,10,1,0
129,51,1,2127226
130,5,1,122748
130,10,1,89788
131,6,1,0
131,10,1,51041
131,13,4,0
132,5,1,99250
132,10,1,12431
133,1,4,0
133,2,4,0
133,6,1,0
133,10,1,1
133,10,2,5460
134,1,1,114000
134,6,1,0
134,10,1,504558
134,15,1,100158
134,17,1,3251660
135,5,1,0
135,10,1,11939
136,10,1,30226
137,10,1,1
138,6,1,0
138,10,1,31667
139,10,1,65514
140,1,1,371165
140,5,1,108137
140,5,4,0
140,6,1,0
140,10,1,12144
141,1,1,11675
141,2,1,2415417
141,2,4,0
141,6,1,0
141,9,1,0
141,10,1,61484
141,10,2,0
142,5,1,393680
142,10,1,14060
143,1,1,0
143,1,4,295458
143,2,4,0
143,6,1,11550
143,10,1,417
144,0,1,97957
144,5,1,0
144,10,1,12891
145,10,1,61727
146,6,1,76436
147,0,1,535656
147,1,1,415120
147,5,1,0
147,6,1,14400
147,10,1,31686
148,0,1,97929
148,1,1,0
148,5,1,0
148,10,1,100776
149,2,1,2767971
149,10,1,-1
150,10,1,8289
151,5,1,156935
151,6,1,14700
151,10,1,81305
151,13,1,0
152,5,1,0
152,10,1,223605
153,5,1,159074
153,10,1,105674
153,12,1,0
154,7,1,0
154,10,1,23586
155,6,1,25566
155,10,1,20737
156,6,1,3365
156,8,1,0
156,10,1,13987
157,2,4,3592962
157,5,1,0
157,6,1,0
157,10,1,20486
157,10,2,21857
157,13,1,0
158,10,1,55722
158,13,1,2040
159,5,1,177758
159,10,1,10710
159,13,1,0
160,10,1,459656
161,10,1,4199
162,10,1,1863
163,10,1,51844
164,10,1,20174
165,0,1,0
165,6,1,0
165,10,1,16808
166,0,1,250
166,1,1,579205
166,5,1,51305
166,6,1,12946
166,10,1,167918
166,13,1,0
166,13,4,0
166,51,1,0
167,0,1,0
167,5,1,100056
167,10,1,118845
168,0,1,31582
168,1,1,0
168,3,1,1455090
168,5,1,188602
168,6,1,0
168,10,1,185069
168,10,2,0
169,10,1,45493
169,13,1,12663
170,0,1,0
170,6,1,19932
170,10,1,36397
171,10,1,172201
172,10,1,29000
173,5,1,390505
173,6,1,0
173,10,1,76560
174,6,1,28050
174,10,1,17759
175,1,1,444213
175,6,1,31800
175,10,1,1592
175,13,1,0
176,0,4,49941
176,1,1,399799
176,2,1,0
176,5,1,968032
176,10,1,6685
176,12,1,1856
177,1,1,302392
177,1,4,0
177,10,1,50011
178,10,1,35955
178,13,1,0
179,5,1,0
179,6,1,0
179,13,1,10239
180,5,1,0
180,6,1,4362
180,13,1,30301
181,0,1,98976
181,5,1,0
181,10,1,48735
182,5,1,347902
182,8,1,138475
182,10,1,12557
182,12,1,0
182,13,1,0
183,0,1,0
183,10,1,2508
183,56,1,8745
184,1,1,292814
184,5,1,0
184,10,1,1841
185,6,1,26428
185,10,1,0
185,13,1,0
186,5,1,286481
186,10,1,87542
187,10,1,72258
188,5,1,0
188,10,1,19754
189,6,1,28144
189,7,1,50000
190,5,1,82161
190,6,1,32188
190,10,1,1565
191,10,1,6420
192,1,1,851896
192,10,1,70929
192,13,1,0
193,6,1,2875
193,10,1,327
193,13,1,0
194,1,1,454781
194,2,1,0
194,6,1,5830
194,10,1,51943
195,10,1,45395
196,2,4,919965
196,10,1,116172
196,13,4,0
197,1,4,247517
197,6,1,16561
197,10,1,175028
197,13,4,0
198,1,1,1097194
198,7,1,434838
198,10,1,144572
199,1,1,0
199,5,1,60541
199,5,4,0
199,6,1,0
199,7,1,0
199,10,1,70474
200,10,1,10995
200,13,1,0
201,10,1,554
202,1,1,177583
202,10,1,52989
202,13,1,0
203,10,1,237378
204,5,1,80254
204,6,1,5250
204,10,1,45147
205,10,1,57274
206,1,1,213481
206,2,1,779963
206,6,1,2292
206,10,1,70553
206,13,1,0
207,0,1,99059
207,5,1,0
207,8,4,316254
207,10,1,3450
207,13,1,0
208,1,1,446693
208,5,1,459416
208,10,1,4442
209,5,1,155814
209,10,1,137914
209,10,2,0
210,8,1,229025
210,10,1,4294
211,5,1,0
211,6,1,0
211,10,1,101
211,10,2,0
212,5,1,644242
212,6,1,15750
212,10,1,44515
212,13,1,68970
213,1,1,449483
213,1,4,102955
213,6,1,25798
213,10,1,68127
214,2,4,1510952
214,5,4,739478
214,10,1,0
215,5,1,0
215,10,1,382573
215,13,1,0
216,6,1,20923
216,10,1,20694
217,5,1,337719
217,10,1,31913
217,13,4,0
218,1,1,380082
218,6,1,0
218,10,1,45940
218,13,1,0
218,13,4,0
219,1,1,0
219,6,1,0
219,10,1,-177
220,1,1,540820
220,6,1,29333
220,10,1,32784
221,5,1,93605
221,10,1,36459
222,1,1,0
222,10,1,53512
223,10,1,9999
224,1,1,543084
224,6,1,0
224,7,1,296840
224,10,1,25572
225,0,1,98818
225,5,1,0
225,10,1,21448
226,6,1,0
226,10,1,14021
226,13,1,0
227,6,1,0
227,7,1,482000
227,10,1,-3
227,13,1,0
228,10,1,16363
228,13,1,1899
229,1,1,211068
229,2,1,701754
229,5,1,305643
229,10,1,193853
229,32,1,0
230,1,1,22519
230,5,1,135444
230,6,1,4527
230,10,1,28273
231,0,1,60000
231,2,1,398621
231,6,1,0
231,10,1,9396
231,13,1,0
232,5,1,0
232,10,1,63577
233,1,1,0
233,6,1,0
233,10,1,0
233,13,1,0
234,5,1,139000
234,6,1,5700
235,5,1,79404
235,5,3,103402
235,10,1,100692
235,32,1,62760
236,1,1,360130
236,10,1,11809
237,6,1,7912
238,1,1,0
238,5,1,0
238,6,1,0
238,10,1,9532
239,0,1,0
239,10,1,2411
240,5,1,0
240,6,1,0
240,10,1,23017
240,13,1,0
241,1,4,0
241,10,1,40511
242,0,1,100000
242,6,1,8328
243,10,1,84644
244,1,1,716168
244,5,1,0
244,6,1,69519
244,7,1,88500
244,10,1,114945
244,13,1,0
245,2,1,1496097
245,5,1,66638
245,10,1,74161
246,0,1,801019
246,1,1,786008
246,8,1,550525
246,10,1,30217
247,0,1,18500
247,2,4,1424918
247,5,1,162590
247,6,1,0
247,10,1,37798
247,13,1,0
248,1,1,87877
248,5,1,111769
248,6,1,10633
248,10,1,73583
248,10,2,0
249,0,1,97368
249,1,1,85983
249,1,4,0
249,5,1,0
249,10,1,13001
250,5,1,47690
250,10,1,64716
251,2,1,680896
251,5,1,197128
251,10,1,63236
251,13,1,0
252,10,1,39984
252,12,1,137987
253,0,1,266940
253,1,1,258122
253,5,1,75000
253,6,1,8800
253,10,1,16905
254,1,1,237682
254,6,1,0
254,10,1,500
255,1,1,40569
255,5,1,104685
255,10,1,71315
255,13,1,0
255,32,1,185595
256,1,1,352501
256,2,4,0
256,5,1,0
256,6,1,33750
256,10,1,12413
257,0,1,982978
257,2,1,4954304
257,6,1,0
257,10,1,30686
257,12,1,0
257,12,4,0
258,5,1,300000
258,10,1,11731
259,10,1,38870
260,5,1,0
260,10,1,13228
260,17,1,0
261,10,1,2364
261,13,4,0
262,5,1,0
262,10,1,3370
262,13,4,0
263,6,1,5740
263,10,1,10848
264,10,1,37998
265,5,1,379889
265,6,1,9680
265,10,1,175839
265,13,1,0
266,10,1,2
267,1,1,253091
267,7,1,0
267,10,1,63305
268,10,1,3332
269,1,1,0
269,6,1,3250
269,10,1,23841
269,17,1,42136
269,17,3,188052
269,17,4,0
270,0,1,0
270,1,1,326811
270,5,1,428059
270,10,1,86981
271,0,1,390459
271,2,1,109305
271,5,1,0
271,6,1,3075
271,10,1,2683
271,13,1,0
272,10,1,110469
273,2,1,2803172
273,10,1,34487
274,1,1,0
274,5,1,308442
274,6,1,0
274,10,1,36466
275,10,1,18334
276,2,4,3576129
276,5,4,0
276,10,1,292137
277,5,1,26430
277,10,1,20429
278,0,1,197818
278,5,1,0
278,10,1,46880
279,6,1,0
279,10,1,22730
280,10,1,21048
281,2,4,759467
281,10,1,4003
282,0,1,28
282,1,1,179898
282,1,4,0
282,6,1,42332
282,10,1,19650
283,5,1,135149
283,10,1,17942
284,10,1,32782
285,0,1,84410
285,0,4,64555
285,10,1,12157
286,10,1,36429
286,13,1,0
287,0,1,91638
287,2,1,1237817
287,5,1,475000
287,6,1,0
287,10,1,0
287,13,1,0
288,0,1,99034
288,8,1,237019
288,10,1,40032
289,10,1,110153
290,6,1,16672
290,10,1,60407
291,1,1,361273
291,6,1,0
291,10,1,5401
291,13,1,0
292,0,1,0
292,2,1,302987
292,6,1,0
292,10,1,178642
293,5,1,150000
293,5,4,0
293,10,1,66226
293,12,1,0
294,2,1,1037794
294,6,1,25840
294,10,1,36883
295,10,1,80824
296,10,1,14289
296,13,1,27325
297,10,1,31082
298,6,1,0
298,10,1,57000
299,5,1,79471
299,6,1,0
299,10,1,460565
299,13,1,0
300,1,4,0
300,10,1,898
300,12,1,201428
301,1,1,452056
301,5,1,0
301,5,4,809847
301,6,1,0
301,10,1,34027
301,13,1,0
302,2,1,1028218
302,10,1,347643
303,6,1,10000
304,10,1,87004
305,1,1,847713
305,2,1,880780
305,10,1,14096
305,13,1,0
306,5,1,0
306,10,1,185730
306,12,1,39
306,13,1,0
307,5,1,0
307,10,1,8536
308,1,1,591050
308,6,1,0
308,10,1,11020
308,13,4,0
309,1,1,594392
309,10,1,75602
310,0,1,98069
310,5,1,0
310,6,1,400
310,10,1,8111
311,10,1,128296
312,10,1,34280
312,12,1,0
313,9,1,0
313,10,1,76652
314,6,1,16328
314,53,1,279805
315,10,1,87598
316,1,1,0
316,7,1,41161
316,10,1,270041
316,13,1,0
317,5,1,131408
317,6,1,0
317,10,1,22699
318,1,1,203311
318,10,1,202407
319,6,1,0
319,10,1,123865
320,10,1,7792
321,5,1,426640
321,10,1,12126
322,6,1,18909
322,10,1,184387
322,32,1,84084
323,10,1,26495
323,10,2,184
324,1,1,60778
324,5,1,200000
324,10,1,146487
324,13,1,0
325,6,1,18992
325,10,1,75003
326,1,1,950499
326,5,1,0
326,10,1,4639
326,13,1,0
327,6,1,11080
327,10,1,9358
328,10,1,561
328,13,1,0
329,10,1,104716
329,13,1,0
330,10,1,18951
330,53,1,59242
331,10,1,-6
332,1,1,0
332,2,4,0
332,10,1,4331
333,1,1,387902
333,6,1,400
333,10,1,37982
333,51,1,44036
334,7,1,0
334,8,4,0
334,10,1,55671
335,5,1,403988
335,10,1,151108
336,5,1,442610
336,10,1,50161
337,1,1,166023
337,1,4,0
337,6,1,0
337,10,1,0
337,13,1,0
338,0,1,0
338,1,1,641744
338,1,4,0
338,6,1,51049
338,7,1,263000
338,10,1,105237
338,13,1,0
338,13,4,0
338,32,1,0
339,1,1,62859
339,10,1,41220
340,5,1,99887
340,10,1,70645
341,0,1,3965
341,6,1,71089
341,10,1,66445
342,2,1,1399950
342,5,1,132899
342,6,1,0
342,10,1,13533
343,1,1,336506
343,5,1,0
343,6,1,0
343,10,1,10108
344,10,1,75511
345,0,1,0
345,1,1,0
345,5,1,0
345,6,1,10500
345,13,1,0
346,6,1,0
346,10,1,57879
347,1,1,0
347,2,1,1235921
347,2,4,689379
347,6,1,0
347,10,1,1133
348,10,1,69928
349,2,4,913933
349,6,1,0
349,10,1,65301
350,6,1,12280
350,7,1,0
350,10,1,166947
350,13,1,0
350,32,1,0
351,10,1,20703
352,6,1,0
352,10,1,26571
353,1,1,0
353,5,1,0
353,10,1,1316
353,10,2,0
354,1,1,233969
354,6,1,2288
354,10,1,31242
355,1,1,128250
355,2,4,1166030
355,10,1,72374
356,2,1,0
356,2,4,1877195
356,6,1,0
356,10,1,77394
356,13,1,21544
356,15,1,-366936
357,5,1,0
357,7,1,0
357,10,1,18492
357,13,1,-11629
358,10,1,494524
359,10,1,60533
360,1,1,0
360,6,1,0
360,10,1,156830
361,10,1,34880
362,10,1,2666
363,10,1,33226
364,5,1,51313
364,10,1,5693
365,10,1,1760
366,0,1,0
366,5,1,105352
366,10,1,234108
366,13,1,13924
367,2,4,1081764
367,5,1,0
367,7,1,41700
367,10,1,231115
368,0,1,98149
368,1,1,0
368,5,1,0
368,10,1,5564
369,5,1,188418
369,6,1,7956
369,10,1,84826
370,0,1,0
370,1,1,-1771
370,5,1,11535
370,10,1,121274
370,13,1,0
371,0,1,0
371,10,1,18787
372,6,1,39231
372,13,1,0
373,5,1,96365
373,10,1,9350
373,13,1,0
374,2,1,460753
374,10,1,39623
375,2,1,430521
375,5,1,0
375,6,1,14746
375,10,1,73181
375,10,2,31141
375,13,1,14359
376,5,1,34210
376,10,1,53874
377,10,1,82466
378,5,1,160000
378,10,1,54141
378,13,1,0
379,1,4,852533
379,6,1,23640
379,10,1,38911
380,0,1,0
380,5,1,0
380,7,1,0
381,6,1,16504
381,10,1,189514
382,6,1,5552
382,10,1,19889
383,2,4,209419
383,5,1,92894
383,6,1,0
383,7,1,51466
383,10,1,135303
383,13,1,42019
384,0,1,99062
384,5,1,0
384,10,1,110411
385,5,1,60834
385,6,1,3876
385,10,1,6322
386,5,1,1158957
386,10,1,140879
387,5,1,0
387,6,1,0
387,13,1,0
387,32,1,0
388,6,1,29118
388,10,1,0
389,5,1,9510
389,10,1,6261
390,10,1,28585
391,5,1,81487
391,10,1,23015
391,32,1,201889
392,5,1,111105
392,10,1,52169
392,13,1,0
393,10,1,23195
393,10,2,0
393,13,4,0
394,1,1,0
394,2,1,2235850
394,5,1,471581
394,10,1,38773
394,13,1,0
395,0,1,0
395,6,1,0
395,10,1,29636
396,1,1,0
396,5,1,30442
396,6,1,0
396,10,1,81146
396,13,1,0
397,1,1,269369
397,5,1,483825
397,10,1,68768
398,1,1,0
398,5,1,0
398,10,1,39546
398,10,2,0
399,0,1,457444
399,1,1,447895
399,2,4,520288
399,5,1,235210
399,10,1,47976
400,1,1,223935
400,5,1,419164
400,6,1,2980
400,10,1,129766
400,13,1,0
401,5,1,600000
401,10,1,30144
402,1,1,355923
402,5,1,0
402,6,1,13888
402,10,1,3033
402,13,1,0
403,6,1,0
403,10,1,17900
404,1,1,0
404,2,1,0
404,5,1,1207
404,6,1,19991
404,10,1,162668
404,12,1,0
405,6,1,15276
405,10,1,1986
406,5,1,81933
406,10,1,46881
406,13,1,0
407,1,1,0
407,5,1,75444
407,6,1,15500
407,10,1,145688
408,1,4,0
408,2,1,0
408,6,1,0
408,10,1,116568
408,51,3,-5
409,0,1,0
409,1,1,0
409,5,1,0
409,6,1,0
409,10,1,193356
410,10,1,52489
410,13,1,19516
411,6,1,0
411,10,1,53595
411,13,1,0
411,32,1,176092
412,5,1,0
412,10,1,134012
412,13,1,0
413,1,1,1313347
413,5,1,0
413,6,1,6000
413,10,1,1038
413,13,1,0
414,2,4,1268569
414,10,1,37221
414,13,1,0
415,10,1,30729
416,5,1,302313
416,10,1,0
417,6,1,0
417,10,1,79605
418,1,4,321065
418,5,1,188868
418,6,1,0
418,7,1,0
418,10,1,50206
418,10,2,0
418,51,1,0
419,6,1,55552
419,10,1,6115
419,13,1,0
420,5,1,40220
420,6,1,0
420,10,1,68348
421,5,1,0
421,10,1,20933
422,6,1,0
422,10,1,106633
422,15,1,0
423,2,4,1015079
423,5,1,285319
423,7,1,0
423,10,1,106993
423,12,1,26646
424,10,1,0
425,5,1,0
425,6,1,0
425,10,1,72996
425,32,1,0
426,10,1,37734
427,10,1,42000
428,10,1,685
429,10,1,214499
430,1,1,810840
430,1,3,122333
430,7,1,131500
430,10,1,117768
431,10,1,20813
431,17,1,1835937
431,51,1,46
432,5,1,0
432,10,1,50731
433,1,1,78074
433,5,1,0
433,6,1,41535
433,10,1,130451
433,12,1,0
433,13,1,14390
434,0,1,419112
434,1,1,405858
434,2,4,1918456
434,10,1,8592
435,1,1,215636
435,6,1,0
435,10,1,31439
435,13,1,0
436,0,1,195789
436,2,4,96268
436,5,1,0
436,10,1,0
437,6,1,0
437,10,1,5520
438,1,1,0
438,2,4,10027671
438,5,1,0
438,10,1,2556
438,10,2,16015
439,1,1,292800
439,6,1,0
439,13,1,0
440,1,1,0
440,10,1,2323
441,5,4,283306
441,7,1,0
441,10,1,13183
442,5,4,234705
442,10,1,27141
443,1,1,40613
443,6,1,14300
443,10,1,9485
444,6,1,0
444,10,1,180917
444,10,2,0
445,2,4,1242318
445,10,2,859
446,5,1,0
446,6,1,0
446,10,1,40874
447,1,1,161234
447,5,1,0
447,10,1,18303
448,5,1,224829
448,10,1,10348
449,0,1,402432
449,1,1,394692
449,2,1,686861
449,5,1,113502
449,10,1,0
449,13,1,0
450,6,1,0
450,10,1,21361
451,5,1,196913
451,10,1,88534
452,6,1,1625
453,6,1,18000
453,10,1,-32
454,1,1,392582
454,5,1,158256
454,6,1,5494
454,10,1,4343
454,13,4,0
455,1,1,121297
455,1,4,0
455,6,1,0
455,10,1,50487
455,13,1,0
455,17,4,0
456,2,1,1861448
456,6,1,0
456,10,1,20771
456,10,2,19582
456,13,1,0
457,5,1,0
457,10,1,220634
458,5,1,26271
458,10,1,28555
459,6,1,0
459,10,1,2781
460,2,1,3333283
460,5,1,504010
460,7,1,0
460,10,1,70949
460,12,1,0
460,13,1,0
461,5,1,478769
461,6,1,3700
461,10,1,0
462,6,1,0
462,10,1,0
462,13,1,0
463,1,1,0
463,1,4,0
463,5,1,0
463,5,4,0
463,6,1,11997
463,10,1,-33
463,17,3,0
464,10,1,28298
465,8,1,0
465,8,4,0
465,10,1,151175
465,10,2,3147
466,10,1,9366
467,10,1,12116
468,2,4,0
468,5,1,190666
468,6,1,0
468,10,1,59312
469,10,1,-198
470,1,1,0
470,3,4,2846159
470,10,1,18367
471,5,1,66990
471,10,1,8248
472,1,1,0
472,5,1,0
472,6,1,0
472,10,1,198342
472,13,1,0
473,1,1,738407
473,1,4,0
473,10,1,98749
474,10,1,379879
474,12,1,955
475,10,1,49696
476,1,1,18734
476,10,1,22416
477,5,1,104412
477,6,1,8498
477,10,1,35417
477,10,2,0
478,5,1,319547
478,7,1,0
478,10,1,19302
479,1,1,0
479,6,1,3300
479,10,1,17468
480,5,1,0
480,10,1,37623
480,12,1,0
481,10,1,17898
482,0,1,0
482,2,4,0
482,10,1,12022
483,6,1,0
484,5,1,3396
484,6,1,0
484,10,1,115310
484,13,1,0
485,1,1,288560
485,10,1,43483
485,10,2,0
486,10,1,2776
487,5,1,122563
487,6,1,0
487,10,1,402123
487,13,1,0
488,10,1,37911
488,13,1,0
488,13,4,0
489,10,1,66395
490,2,4,1696193
490,10,1,18726
491,0,1,0
491,2,4,1681656
491,10,1,3841
492,0,1,11207018
492,1,1,605532
492,6,1,0
492,10,1,18742
493,5,1,0
493,10,1,123688
494,10,1,8895
495,5,1,0
495,10,1,-5
496,5,1,6915
496,10,1,91548
497,0,1,0
497,5,1,271099
497,6,1,2000
497,10,1,5609
498,5,1,219695
498,10,1,24158
499,5,1,0
499,10,1,17966
499,13,1,0
500,1,1,0
500,2,1,2454915
500,2,4,0
500,5,1,0
500,6,1,0
500,10,1,348950
501,2,1,0
502,0,1,102321
502,5,1,344575
502,10,1,2846
502,13,1,0
503,10,1,8653
504,2,1,0
504,2,4,2822355
504,10,1,13941
504,13,1,0
505,10,1,144183
505,13,1,74412
506,6,1,2328
506,10,1,22349
507,0,1,0
507,10,1,17346
507,32,1,122646
508,10,1,0
509,5,1,146995
509,10,1,112303
509,13,1,0
510,6,1,19018
510,10,1,52202
511,5,1,405469
511,10,1,37241
512,6,1,1576
512,32,1,180973
