,customer_no,owner_indic,count,acct_type,utilization,utilization_count,cur_balance_amt,enquiry_count
70,20,1,5,0,High,1,539975,1
71,20,1,5,1,High,1,515739,8
72,20,4,1,1,High,1,0,8
73,20,1,5,10,High,3,695929,8
74,21,1,6,10,High,3,78662,4
75,21,1,6,10,Low,3,78662,4
76,21,2,1,10,High,1,17842,4
77,23,1,7,1,High,1,0,7
78,23,4,1,1,High,1,0,7
79,23,1,7,2,High,2,24839600,2
80,24,1,11,1,High,3,0,3
81,24,4,1,1,High,1,349991,3
82,24,1,11,10,High,3,5766,3
83,24,1,11,10,Low,4,5766,3
84,26,1,10,10,High,5,2118,1
85,26,1,10,10,Low,5,2118,1
86,28,1,10,1,High,2,2377944,5
87,28,4,1,1,High,1,541147,5
88,28,1,10,10,High,5,463731,13
89,28,1,10,10,Low,3,463731,13
90,28,2,2,10,High,2,152140,13
91,29,1,4,10,High,2,316262,3
92,29,1,4,10,Low,2,316262,3
93,29,2,1,10,High,1,0,3
94,31,1,8,0,High,1,433572,1
95,31,1,8,1,High,2,271807,2
96,31,1,8,10,High,1,72,5
97,31,1,8,10,Low,3,72,5
98,32,1,3,10,High,2,40636,5
99,32,1,3,10,Low,1,40636,5
100,33,1,17,10,High,7,-5143,3
101,33,1,17,10,Low,8,-5143,3
102,33,2,3,10,High,1,-4769,3
103,33,2,3,10,Low,2,-4769,3
104,34,1,6,1,High,1,578004,1
105,34,1,6,10,High,4,261863,7
106,34,1,6,10,Low,1,261863,7
107,34,2,1,10,High,1,-20667,7
108,35,1,5,1,High,1,0,1
109,35,1,5,2,High,1,0,5
110,35,4,4,2,High,4,27170606,5
111,35,1,5,10,High,1,1026,2
112,35,1,5,10,Low,2,1026,2
113,36,1,8,10,High,4,32996,2
114,36,1,8,10,Low,4,32996,2
115,37,1,3,1,High,3,0,2
116,37,4,1,1,High,1,2568019,2
117,38,4,1,2,High,1,4419935,2
118,39,1,4,10,High,2,8137,6
119,39,1,4,10,Low,2,8137,6
120,39,2,4,10,High,3,0,6
121,39,2,4,10,Low,1,0,6
122,39,4,2,2,High,2,1057984,3
123,40,1,3,10,Low,3,4896,5
124,40,2,2,10,High,2,0,5
125,41,1,10,10,High,3,21090,5
126,41,1,10,10,Low,6,21090,5
127,41,2,2,10,High,2,0,5
128,43,1,39,0,High,1,0,29
129,43,1,39,1,High,15,4583259,36
130,43,3,8,1,High,4,1330370,36
131,43,4,7,1,High,6,2400988,36
132,43,1,39,3,High,1,7307591,2
133,43,1,39,5,High,1,834855,6
134,43,1,39,7,High,6,6722931,4
135,43,1,39,10,High,4,898122,24
136,43,1,39,10,Low,3,898122,24
137,43,1,39,32,High,1,0,1
138,43,4,7,32,High,1,0,1
139,44,1,7,2,High,3,-33311,12
140,44,4,3,2,High,3,1564594,12
141,44,1,7,10,High,1,91400,7
142,44,1,7,10,Low,3,91400,7
143,45,1,20,2,High,5,2749265,5
144,45,4,1,2,High,1,0,5
145,45,1,20,10,High,9,269403,10
146,45,1,20,10,Low,5,269403,10
147,46,1,3,10,High,1,0,4
148,46,1,3,10,Low,2,0,4
149,47,1,1,10,High,1,2,3
150,48,1,37,1,High,6,398903,6
151,48,1,37,5,High,13,5588361,73
152,48,4,2,5,High,1,2163610,73
153,48,1,37,6,Low,2,0,3
154,48,1,37,10,High,6,391170,31
155,48,1,37,10,Low,10,391170,31
156,49,1,11,1,High,1,0,3
157,49,1,11,5,High,2,1003043,3
158,49,1,11,10,High,3,5415,6
159,49,1,11,10,Low,3,5415,6
160,50,1,8,1,High,2,0,4
161,50,1,8,2,High,2,0,5
162,50,1,8,4,High,1,5812579,3
163,50,1,8,10,High,3,-9474,2
164,51,1,45,0,High,2,2336803,16
165,51,1,45,0,Low,2,2336803,16
166,51,1,45,1,High,6,2341003,15
167,51,3,5,1,High,1,101017,15
168,51,3,5,1,Low,1,101017,15
169,51,4,10,1,High,2,6565790,15
170,51,1,45,2,High,2,7043450,11
171,51,3,5,2,Low,1,38596,11
172,51,4,10,2,High,5,39773355,11
173,51,1,45,5,High,9,404899,14
174,51,3,5,5,High,1,114465,14
175,51,1,45,6,High,1,0,2
176,51,1,45,6,Low,1,0,2
177,51,3,5,6,High,1,79680,2
178,51,1,45,10,High,19,494364,33
179,51,1,45,10,Low,2,494364,33
180,51,2,6,10,High,5,8503,33
181,51,2,6,10,Low,1,8503,33
182,53,1,21,1,High,1,0,2
183,53,1,21,2,High,1,0,5
184,53,4,2,2,High,2,9500000,5
185,53,1,21,10,High,14,98416,26
186,53,1,21,10,Low,5,98416,26
187,53,2,3,10,High,3,54085,26
188,54,1,5,10,High,4,95597,20
189,54,1,5,10,Low,1,95597,20
190,54,2,1,10,High,1,0,20
191,54,4,1,32,High,1,199963,1
192,55,1,2,10,Low,2,11638,4
193,56,1,5,5,Low,1,0,4
194,56,1,5,10,Low,3,37284,4
195,57,1,24,1,High,2,57078,2
196,57,1,24,5,High,5,470061,6
197,57,1,24,5,Low,1,470061,6
198,57,1,24,10,High,4,213992,11
199,57,1,24,10,Low,4,213992,11
200,57,4,4,2,High,4,6769438,9
201,58,1,10,10,High,5,89066,1
202,58,1,10,10,Low,5,89066,1
203,59,1,13,0,High,1,0,1
204,59,1,13,10,High,6,349550,4
205,59,1,13,10,Low,5,349550,4
206,59,2,2,10,High,2,0,4
207,59,4,1,2,High,1,6900000,2
208,60,1,18,0,High,1,32339854,17
209,60,1,18,1,High,1,0,1
210,60,1,18,2,High,2,0,3
211,60,4,4,2,High,2,6444017,3
212,60,1,18,5,High,6,0,19
213,60,4,4,5,High,1,3559858,19
214,60,1,18,6,High,3,52421,1
215,60,1,18,9,High,1,0,1
216,60,1,18,10,High,1,91357,2
217,60,1,18,10,Low,3,91357,2
218,60,3,1,3,High,1,13675434,10
219,60,4,4,3,High,1,0,10
220,61,1,1,10,Low,1,39916,3
221,62,1,16,2,High,1,0,2
222,62,4,1,2,High,1,4261280,2
223,62,1,16,10,High,5,94330,4
224,62,1,16,10,Low,9,94330,4
225,63,1,3,10,High,1,9783,3
226,63,1,3,10,Low,2,9783,3
227,64,1,21,10,High,11,202035,19
228,64,1,21,10,Low,10,202035,19
229,64,2,4,10,High,3,50302,19
230,64,2,4,10,Low,1,50302,19
231,64,4,3,1,High,1,2219338,1
232,65,1,13,10,Balanced,1,484853,8
233,65,1,13,10,High,9,484853,8
234,65,1,13,10,Low,3,484853,8
235,65,3,1,1,High,1,0,5
236,66,1,4,10,High,2,75856,2
237,66,1,4,10,Low,2,75856,2
238,66,2,1,10,High,1,0,2
239,67,1,8,5,High,1,195944,8
240,67,1,8,5,Low,1,195944,8
241,67,1,8,6,Low,1,0,1
242,67,1,8,10,High,2,121320,6
243,67,1,8,10,Low,1,121320,6
244,67,4,2,2,High,2,608524,3
245,68,1,24,1,High,3,446154,4
246,68,1,24,10,High,9,59403,17
247,68,1,24,10,Low,11,59403,17
248,69,1,3,2,High,1,2441846,4
249,69,1,3,10,High,2,133646,1
250,70,1,19,1,High,1,0,1
251,70,1,19,5,High,2,0,2
252,70,1,19,10,High,6,23686,16
253,70,1,19,10,Low,8,23686,16
254,70,2,1,10,Low,1,0,16
255,71,1,11,2,High,1,0,12
256,71,4,2,2,High,2,5887513,12
257,71,1,11,10,High,3,89699,12
258,71,1,11,10,Low,6,89699,12
259,72,1,11,2,High,1,816591,6
260,72,4,5,2,High,3,2863523,6
261,72,1,11,3,High,2,0,3
262,72,1,11,10,High,2,0,3
263,72,1,11,10,Low,5,0,3
264,72,4,5,1,High,1,322112,2
265,73,1,15,5,High,5,0,4
266,73,1,15,5,Low,1,0,4
267,73,1,15,10,High,4,28341,4
268,73,1,15,10,Low,4,28341,4
269,73,2,1,10,Low,1,4764,4
270,73,4,1,2,High,1,4434365,1
271,74,1,15,1,High,3,89396,8
272,74,1,15,10,High,6,41534,3
273,74,1,15,10,Low,4,41534,3
274,74,4,1,2,High,1,0,1
275,75,1,15,10,High,7,189666,1
276,75,1,15,10,Low,4,189666,1
277,76,1,32,1,High,2,0,6
278,76,1,32,5,High,4,0,4
279,76,1,32,5,Low,2,0,4
280,76,1,32,6,Low,1,0,1
281,76,1,32,10,High,3,96297,6
282,76,1,32,10,Low,7,96297,6
283,76,1,32,13,Low,1,0,1
284,76,1,32,51,High,3,0,6
285,76,4,1,51,High,1,355164,6
286,76,1,32,52,High,1,0,1
287,77,1,10,1,High,1,0,1
288,77,1,10,2,High,1,2074718,3
289,77,1,10,10,High,1,61934,2
290,77,1,10,10,Low,5,61934,2
291,77,2,3,10,High,2,6121,2
292,77,2,3,10,Low,1,6121,2
293,78,1,3,1,High,1,0,2
294,78,4,1,1,High,1,417389,2
295,78,1,3,10,Low,1,-649,3
296,79,1,12,1,High,2,1149104,1
297,79,1,12,2,High,1,0,2
298,79,4,1,2,High,1,0,2
299,79,1,12,6,High,1,0,1
300,79,1,12,6,Low,1,0,1
301,79,1,12,10,High,2,19380,5
302,79,1,12,10,Low,4,19380,5
303,80,1,11,1,High,1,0,2
304,80,1,11,2,High,1,0,8
305,80,4,1,2,High,1,0,8
306,80,1,11,10,High,5,-3434,5
307,80,1,11,10,Low,4,-3434,5
308,81,1,6,6,Low,1,0,1
309,81,1,6,10,High,2,67498,3
310,81,1,6,10,Low,2,67498,3
311,82,1,1,1,High,1,0,3
312,82,4,2,1,High,1,296145,3
313,82,4,2,3,High,1,9609202,1
314,83,1,8,2,High,2,708187,2
315,83,1,8,10,High,3,282588,3
316,83,1,8,10,Low,3,282588,3
317,84,1,9,1,High,1,85616,1
318,84,4,2,1,High,1,0,1
319,84,1,9,10,High,5,153877,3
320,84,1,9,10,Low,2,153877,3
321,84,2,4,10,High,4,53310,3
322,85,4,7,2,High,3,0,7
323,85,4,7,3,High,4,14474213,7
324,86,1,28,1,High,2,0,6
325,86,1,28,2,High,10,0,2
326,86,3,2,2,High,2,3224044,2
327,86,1,28,10,High,2,-1394,8
328,86,1,28,10,Low,12,-1394,8
329,87,1,16,10,High,4,934112,6
330,87,1,16,10,Low,10,934112,6
331,87,4,4,51,High,4,1338652,14
332,88,1,22,1,High,4,1496038,10
333,88,4,6,1,High,2,0,10
334,88,1,22,10,High,2,65520,8
335,88,1,22,10,Low,8,65520,8
336,88,3,4,2,High,4,0,6
337,88,4,6,2,High,2,7502342,6
338,88,4,6,3,High,2,5076212,2
339,89,1,36,1,High,10,4664680,22
340,89,4,4,1,High,4,0,22
341,89,1,36,5,High,6,361996,12
342,89,1,36,10,High,8,28548,18
343,89,1,36,10,Low,8,28548,18
344,90,1,15,1,High,1,0,1
345,90,1,15,2,High,1,0,14
346,90,3,1,2,High,1,0,14
347,90,4,4,2,High,1,0,14
348,90,1,15,5,High,2,-534740,1
349,90,4,4,5,High,1,0,1
350,90,1,15,10,High,2,0,2
351,90,1,15,10,Low,6,0,2
352,90,4,4,3,High,1,25247384,4
353,91,1,3,2,High,1,5542099,4
354,91,4,1,2,High,1,0,4
355,91,1,3,10,Low,2,55796,4
356,92,1,10,2,High,1,2836916,1
357,92,1,10,10,High,2,50738,4
358,92,1,10,10,Low,7,50738,4
359,93,1,2,10,Low,2,75523,5
360,94,1,1,2,High,1,2282736,1
361,95,1,10,5,High,1,89910,3
362,95,1,10,5,Low,2,89910,3
363,95,1,10,6,Low,3,31830,2
364,95,1,10,10,High,1,48108,7
365,95,1,10,10,Low,2,48108,7
366,96,1,9,5,High,1,266284,2
367,96,1,9,10,Balanced,1,152894,12
368,96,1,9,10,High,1,152894,12
369,96,1,9,10,Low,5,152894,12
370,96,1,9,13,Low,1,0,4
371,97,1,5,5,High,2,307679,4
372,97,1,5,10,High,1,100945,17
373,97,1,5,10,Low,2,100945,17
374,98,1,20,0,Low,1,45,6
375,98,1,20,6,Low,8,0,4
376,98,1,20,10,Balanced,1,67156,6
377,98,1,20,10,High,3,67156,6
378,98,1,20,10,Low,2,67156,6
379,98,2,1,10,High,1,-204,6
380,99,1,9,1,High,1,84640,3
381,99,1,9,6,Low,3,0,1
382,99,1,9,10,Balanced,1,12278,11
383,99,1,9,10,Low,4,12278,11
384,100,1,9,5,High,2,334609,9
385,100,1,9,6,Low,1,0,2
386,100,1,9,10,Balanced,1,99816,7
387,100,1,9,10,Low,4,99816,7
388,101,1,3,10,Low,3,236,4
389,102,1,5,10,Balanced,1,6756,5
390,102,1,5,10,Low,3,6756,5
391,103,1,10,0,High,1,0,1
392,103,1,10,10,Balanced,1,27978,17
393,103,1,10,10,High,2,27978,17
394,103,1,10,10,Low,5,27978,17
395,103,4,1,2,High,1,469977,3
396,104,1,3,1,High,1,0,1
397,104,1,3,10,Low,1,0,1
398,104,1,3,13,Low,1,0,2
399,105,1,5,5,High,1,42154,6
400,105,1,5,10,High,1,77079,10
401,105,1,5,10,Low,3,77079,10
402,106,1,6,10,Low,6,152076,8
403,107,1,6,10,High,2,61854,5
404,108,1,12,10,Balanced,1,89513,21
405,108,1,12,10,High,1,89513,21
406,108,1,12,10,Low,10,89513,21
407,108,2,1,10,Low,1,0,21
408,109,1,1,10,Low,1,11262,1
409,110,1,25,0,Low,1,0,3
410,110,1,25,2,High,3,3165671,15
411,110,4,3,2,High,2,0,15
412,110,1,25,5,High,4,562109,4
413,110,1,25,5,Low,2,562109,4
414,110,1,25,6,High,1,84552,1
415,110,1,25,6,Low,2,84552,1
416,110,1,25,10,High,8,509070,20
417,110,1,25,10,Low,4,509070,20
418,110,4,3,1,High,1,0,2
419,111,1,15,10,Balanced,2,4386,12
420,111,1,15,10,High,1,4386,12
421,111,1,15,10,Low,12,4386,12
422,111,2,2,10,Low,2,0,12
423,112,1,9,5,High,2,101705,10
424,112,1,9,6,Low,2,0,4
425,112,1,9,10,High,1,46296,19
426,112,1,9,10,Low,4,46296,19
427,113,1,8,10,High,2,67881,17
428,113,1,8,10,Low,6,67881,17
429,114,1,8,5,High,2,231299,11
430,114,1,8,6,Low,1,0,1
431,114,1,8,10,High,1,6738,13
432,114,1,8,10,Low,2,6738,13
433,114,1,8,13,Low,1,0,2
434,115,1,7,5,High,1,252076,3
435,115,1,7,10,Balanced,1,100482,16
436,115,1,7,10,High,1,100482,16
437,115,1,7,10,Low,2,100482,16
438,115,1,7,13,Low,2,19848,2
439,116,1,2,10,Low,1,7089,6
440,117,1,5,1,High,2,234895,4
441,117,1,5,10,Low,2,51088,10
442,117,1,5,13,Low,1,0,1
443,118,1,18,7,High,3,0,1
444,118,1,18,10,High,5,319552,53
445,118,1,18,10,Low,7,319552,53
446,118,2,1,10,Low,1,18580,53
447,119,1,6,1,High,1,3821924,4
448,119,1,6,10,High,4,44499,6
449,120,1,5,1,High,2,113183,3
450,120,1,5,10,High,1,0,4
451,120,1,5,10,Low,1,0,4
452,120,1,5,13,Low,1,0,2
453,120,4,1,5,High,1,103492,1
454,121,1,2,10,High,1,159736,4
455,121,1,2,10,Low,1,159736,4
456,122,1,9,6,Low,2,2870,1
457,122,1,9,10,High,1,133590,13
458,122,1,9,10,Low,4,133590,13
459,122,1,9,13,Low,1,-3810,2
460,123,1,8,6,Low,1,0,1
461,123,1,8,10,Balanced,1,11178,4
462,123,1,8,10,High,1,11178,4
463,123,1,8,10,Low,2,11178,4
464,123,1,8,13,Low,1,0,1
465,124,1,4,10,High,3,61121,4
466,124,1,4,10,Low,1,61121,4
467,125,1,16,1,High,1,0,5
468,125,1,16,2,High,1,246430,7
469,125,1,16,3,High,1,4367035,2
470,125,1,16,6,Low,1,0,1
471,125,1,16,10,Balanced,1,62850,20
472,125,1,16,10,High,4,62850,20
473,125,1,16,10,Low,6,62850,20
474,126,1,10,1,High,1,204835,1
475,126,1,10,1,Low,1,204835,1
476,126,1,10,10,High,3,96242,28
477,126,1,10,10,Low,1,96242,28
478,126,4,1,5,Low,1,0,1
479,127,1,7,2,High,1,1396824,1
480,127,1,7,5,High,1,0,2
481,127,1,7,10,High,1,46789,11
482,127,1,7,10,Low,3,46789,11
483,128,1,4,5,Low,1,63384,1
484,128,1,4,6,Low,3,16750,5
485,129,1,15,10,High,1,0,3
486,129,1,15,10,Low,1,0,3
487,130,1,5,5,High,1,122748,3
488,130,1,5,10,High,1,89788,14
489,130,1,5,10,Low,3,89788,14
490,131,1,5,10,High,1,51041,4
491,131,1,5,10,Low,1,51041,4
492,131,4,1,13,Low,1,0,1
493,132,1,6,5,High,1,99250,3
494,132,1,6,10,Balanced,1,12431,7
495,132,1,6,10,Low,4,12431,7
496,133,1,2,6,Low,1,0,1
497,133,1,2,10,Low,1,1,1
498,133,2,1,10,Low,1,5460,1
499,134,1,26,1,High,2,114000,5
500,134,1,26,6,Low,4,0,2
501,134,1,26,10,High,10,504558,25
502,134,1,26,10,Low,3,504558,25
503,135,1,12,5,High,3,0,5
504,135,1,12,10,Balanced,1,11939,36
505,135,1,12,10,High,3,11939,36
506,135,1,12,10,Low,5,11939,36
507,136,1,3,10,High,1,30226,25
508,136,1,3,10,Low,2,30226,25
509,137,1,1,10,Low,1,1,3
510,138,1,2,6,Low,1,0,4
511,138,1,2,10,Low,1,31667,4
512,139,1,5,10,Balanced,1,65514,12
513,139,1,5,10,Low,4,65514,12
514,140,1,15,1,High,2,371165,3
515,140,1,15,5,High,1,108137,11
516,140,1,15,5,Low,1,108137,11
517,140,4,1,5,Low,1,0,11
518,140,1,15,6,Low,2,0,2
519,140,1,15,10,High,2,12144,25
520,140,1,15,10,Low,7,12144,25
521,141,1,14,2,High,1,2415417,2
522,141,4,1,2,High,1,0,2
523,141,1,14,10,High,3,61484,7
524,141,1,14,10,Low,5,61484,7
525,141,2,2,10,High,1,0,7
526,141,2,2,10,Low,1,0,7
527,142,1,2,5,High,1,393680,6
528,142,1,2,10,Low,1,14060,4
529,143,1,7,1,High,1,0,1
530,143,4,2,1,High,1,295458,1
531,143,1,7,6,Low,3,11550,1
532,143,1,7,10,Low,3,417,13
533,143,4,2,2,High,1,0,1
534,144,1,9,0,High,1,97957,2
535,144,1,9,10,Balanced,1,12891,15
536,144,1,9,10,High,1,12891,15
537,144,1,9,10,Low,5,12891,15
538,145,1,2,10,Low,2,61727,12
539,146,1,13,6,Low,13,76436,5
540,147,1,12,0,High,2,535656,1
541,147,1,12,1,High,1,415120,3
542,147,1,12,6,Low,3,14400,4
543,147,1,12,10,Balanced,1,31686,5
544,147,1,12,10,High,1,31686,5
545,147,1,12,10,Low,3,31686,5
546,148,1,8,5,High,2,0,2
547,148,1,8,10,High,1,100776,4
548,148,1,8,10,Low,2,100776,4
549,149,1,6,2,High,1,2767971,4
550,149,1,6,10,Balanced,1,-1,2
551,149,1,6,10,High,2,-1,2
552,149,1,6,10,Low,2,-1,2
553,150,1,3,10,Low,3,8289,3
554,151,1,7,5,High,1,156935,4
555,151,1,7,5,Low,1,156935,4
556,151,1,7,6,Low,2,14700,4
557,151,1,7,10,High,1,81305,19
558,151,1,7,10,Low,1,81305,19
559,151,1,7,13,Low,1,0,1
560,152,1,11,5,High,1,0,2
561,152,1,11,5,Low,1,0,2
562,152,1,11,10,Balanced,1,223605,28
563,152,1,11,10,High,4,223605,28
564,152,1,11,10,Low,4,223605,28
565,153,1,9,5,High,2,159074,22
566,153,1,9,10,High,1,105674,38
567,153,1,9,10,Low,5,105674,38
568,153,1,9,12,High,1,0,2
569,154,1,2,10,Low,1,23586,17
570,155,1,3,6,Low,2,25566,1
571,155,1,3,10,Low,1,20737,1
572,156,1,3,6,Low,1,3365,1
573,156,1,3,10,Low,1,13987,9
574,157,1,16,5,High,4,0,13
575,157,1,16,10,Balanced,1,20486,9
576,157,1,16,10,High,1,20486,9
577,157,1,16,10,Low,8,20486,9
578,157,2,1,10,High,1,21857,9
579,157,1,16,13,Low,1,0,2
580,157,4,1,2,High,1,3592962,5
581,158,1,5,10,Low,3,55722,10
582,158,1,5,13,Low,2,2040,2
583,159,1,5,5,High,1,177758,1
584,159,1,5,10,Low,2,10710,7
585,159,1,5,13,Low,2,0,2
586,160,1,3,10,High,1,459656,8
587,160,1,3,10,Low,2,459656,8
588,161,1,2,10,Balanced,1,4199,2
589,161,1,2,10,Low,1,4199,2
590,162,1,1,10,Low,1,1863,1
591,163,1,8,10,Low,8,51844,12
592,164,1,2,10,Low,2,20174,5
593,165,1,5,0,Low,1,0,1
594,165,1,5,6,Low,3,0,2
595,165,1,5,10,Low,1,16808,18
596,166,1,17,1,High,2,579205,3
597,166,1,17,5,Low,1,51305,4
598,166,1,17,6,Low,4,12946,3
599,166,1,17,10,High,5,167918,24
600,166,1,17,10,Low,1,167918,24
601,166,1,17,13,Low,2,0,2
602,166,4,1,13,Low,1,0,2
603,166,1,17,51,High,1,0,1
604,167,1,6,10,Balanced,1,118845,8
605,167,1,6,10,High,1,118845,8
606,167,1,6,10,Low,2,118845,8
607,168,1,18,0,Low,1,31582,6
608,168,1,18,1,High,1,0,3
609,168,1,18,5,High,2,188602,21
610,168,1,18,5,Low,1,188602,21
611,168,1,18,6,Low,1,0,1
612,168,1,18,10,Balanced,1,185069,26
613,168,1,18,10,High,4,185069,26
614,168,1,18,10,Low,6,185069,26
615,168,2,1,10,High,1,0,26
616,169,1,6,10,High,1,45493,2
617,169,1,6,10,Low,2,45493,2
618,169,1,6,13,Low,3,12663,2
619,170,1,4,10,Low,2,36397,6
620,171,1,4,10,Low,4,172201,14
621,172,1,3,10,Low,3,29000,12
622,173,1,13,5,High,6,390505,17
623,173,1,13,5,Low,1,390505,17
624,173,1,13,10,Balanced,1,76560,10
625,173,1,13,10,High,2,76560,10
626,173,1,13,10,Low,2,76560,10
627,174,1,2,6,Low,1,28050,1
628,174,1,2,10,Low,1,17759,1
629,175,1,9,1,High,2,444213,3
630,175,1,9,6,Low,5,31800,2
631,175,1,9,10,Low,1,1592,1
632,176,1,38,1,High,1,399799,3
633,176,1,38,2,High,3,0,8
634,176,1,38,5,High,16,968032,60
635,176,1,38,5,Low,5,968032,60
636,176,1,38,10,High,10,6685,14
637,176,1,38,10,Low,2,6685,14
638,176,1,38,12,Low,1,1856,1
639,176,4,1,0,High,1,49941,5
640,177,1,6,1,High,1,302392,1
641,177,4,1,1,High,1,0,1
642,177,1,6,10,High,3,50011,6
643,177,1,6,10,Low,2,50011,6
644,178,1,4,10,High,1,35955,13
645,178,1,4,10,Low,2,35955,13
646,178,1,4,13,Low,1,0,1
647,179,1,9,5,Low,2,0,7
648,179,1,9,6,Low,3,0,8
649,179,1,9,13,Low,4,10239,3
650,180,1,3,5,Low,1,0,1
651,180,1,3,6,Low,1,4362,2
652,181,1,7,0,High,1,98976,1
653,181,1,7,10,Balanced,1,48735,6
654,181,1,7,10,High,2,48735,6
655,181,1,7,10,Low,2,48735,6
656,182,1,7,5,High,1,347902,4
657,182,1,7,8,High,1,138475,1
658,182,1,7,10,Low,3,12557,5
659,182,1,7,13,Low,1,0,2
660,183,1,4,10,Low,2,2508,6
661,184,1,9,1,High,1,292814,1
662,184,1,9,5,High,1,0,3
663,184,1,9,10,High,2,1841,26
664,184,1,9,10,Low,5,1841,26
665,185,1,12,6,Low,3,26428,6
666,185,1,12,10,High,6,0,12
667,185,1,12,10,Low,2,0,12
668,186,1,7,5,High,2,286481,7
669,186,1,7,10,High,4,87542,18
670,186,1,7,10,Low,1,87542,18
671,187,1,2,10,High,2,72258,11
672,188,1,5,5,High,2,0,7
673,188,1,5,10,Low,3,19754,12
674,189,1,3,6,Low,2,28144,4
675,190,1,6,5,High,1,82161,2
676,190,1,6,6,Low,4,32188,9
677,190,1,6,10,Low,1,1565,4
678,191,1,4,10,Balanced,1,6420,23
679,191,1,4,10,High,1,6420,23
680,191,1,4,10,Low,2,6420,23
681,192,1,14,1,High,4,851896,10
682,192,1,14,10,Balanced,1,70929,17
683,192,1,14,10,High,3,70929,17
684,192,1,14,10,Low,5,70929,17
685,192,1,14,13,Low,1,0,3
686,193,1,4,6,Low,1,2875,3
687,193,1,4,10,Low,1,327,2
688,193,1,4,13,Low,2,0,3
689,194,1,9,1,High,1,454781,2
690,194,1,9,2,High,1,0,1
691,194,1,9,10,High,1,51943,10
692,194,1,9,10,Low,3,51943,10
693,195,1,2,10,Low,2,45395,3
694,196,1,3,10,Low,3,116172,9
695,196,4,2,2,High,1,919965,3
696,196,4,2,13,Low,1,0,1
697,197,1,17,6,Low,9,16561,4
698,197,1,17,10,High,1,175028,44
699,197,1,17,10,Low,7,175028,44
700,197,4,3,1,High,1,247517,1
701,197,4,3,13,Low,2,0,2
702,198,1,8,1,High,1,1097194,2
703,198,1,8,10,High,1,144572,4
704,198,1,8,10,Low,2,144572,4
705,199,1,18,1,High,1,0,13
706,199,1,18,5,Low,2,60541,17
707,199,4,2,5,High,2,0,17
708,199,1,18,6,Low,4,0,4
709,199,1,18,7,High,6,0,1
710,199,1,18,7,Low,2,0,1
711,199,1,18,10,High,2,70474,21
712,199,1,18,10,Low,1,70474,21
713,200,1,6,10,High,3,10995,8
714,200,1,6,10,Low,2,10995,8
715,200,1,6,13,Low,1,0,1
716,201,1,13,10,High,5,554,16
