customer_no,owner_indic,acct_type,count
98,1,6,8
98,1,10,6
98,1,1,5
98,1,0,1
98,2,10,1
99,1,10,5
99,1,6,3
99,1,1,1
100,1,10,5
100,1,5,2
100,1,0,1
100,1,6,1
101,1,10,3
102,1,10,4
102,1,0,1
103,1,10,8
103,1,0,1
103,1,6,1
103,4,2,1
104,1,1,1
104,1,10,1
104,1,13,1
105,1,10,4
105,1,5,1
106,1,10,6
107,1,6,3
107,1,10,2
107,1,13,1
108,1,10,12
108,2,10,1
109,1,10,1
110,1,10,12
110,1,5,6
110,1,2,3
110,1,6,3
110,1,0,1
110,4,2,2
110,4,1,1
111,1,10,15
111,2,10,2
112,1,10,5
112,1,5,2
112,1,6,2
113,1,10,8
114,1,10,3
114,1,5,2
114,1,0,1
114,1,6,1
114,1,13,1
115,1,10,4
115,1,13,2
115,1,5,1
116,1,10,1
116,1,12,1
117,1,1,2
117,1,10,2
117,1,13,1
118,1,10,12
118,1,6,3
118,1,7,3
118,2,10,1
119,1,10,4
119,1,1,1
119,1,5,1
120,1,1,2
120,1,10,2
120,1,13,1
120,4,5,1
121,1,10,2
122,1,10,5
122,1,6,2
122,1,1,1
122,1,13,1
123,1,10,4
123,1,5,2
123,1,6,1
123,1,13,1
123,3,2,1
124,1,10,4
125,1,10,11
125,1,1,1
125,1,2,1
125,1,3,1
125,1,6,1
125,1,13,1
126,1,10,4
126,1,7,3
126,1,1,2
126,1,6,1
126,4,5,1
127,1,10,4
127,1,2,1
127,1,5,1
127,1,6,1
128,1,6,3
128,1,5,1
129,1,2,6
129,1,51,5
129,1,10,2
129,1,4,1
129,1,6,1
130,1,10,4
130,1,5,1
131,1,6,3
131,1,10,2
131,4,13,1
132,1,10,5
132,1,5,1
133,1,6,1
133,1,10,1
133,2,10,1
133,4,1,1
133,4,2,1
134,1,10,13
134,1,6,4
134,1,17,4
134,1,15,3
134,1,1,2
135,1,10,9
135,1,5,3
136,1,10,3
137,1,10,1
138,1,6,1
138,1,10,1
139,1,10,5
140,1,10,9
140,1,1,2
140,1,5,2
140,1,6,2
140,4,5,1
141,1,10,8
141,1,1,2
141,1,9,2
141,1,2,1
141,1,6,1
141,2,10,2
141,4,2,1
142,1,5,1
142,1,10,1
143,1,6,3
143,1,10,3
143,1,1,1
143,4,1,1
143,4,2,1
144,1,10,7
144,1,0,1
144,1,5,1
145,1,10,2
146,1,6,13
147,1,10,5
147,1,6,3
147,1,0,2
147,1,1,1
147,1,5,1
148,1,10,3
148,1,0,2
148,1,5,2
148,1,1,1
149,1,10,5
149,1,2,1
150,1,10,3
151,1,5,2
151,1,6,2
151,1,10,2
151,1,13,1
152,1,10,9
152,1,5,2
153,1,10,6
153,1,5,2
153,1,12,1
154,1,7,1
154,1,10,1
155,1,6,2
155,1,10,1
156,1,6,1
156,1,8,1
156,1,10,1
157,1,10,10
157,1,5,4
157,1,6,1
157,1,13,1
157,2,10,1
157,4,2,1
158,1,10,3
158,1,13,2
159,1,10,2
159,1,13,2
159,1,5,1
160,1,10,3
161,1,10,2
162,1,10,1
163,1,10,8
164,1,10,2
165,1,6,3
165,1,0,1
165,1,10,1
166,1,10,6
166,1,6,4
166,1,1,2
166,1,13,2
166,1,0,1
166,1,5,1
166,1,51,1
166,4,13,1
167,1,10,4
167,1,0,1
167,1,5,1
168,1,10,11
168,1,5,3
168,1,0,1
168,1,1,1
168,1,3,1
168,1,6,1
168,2,10,1
169,1,10,3
169,1,13,3
170,1,10,2
170,1,0,1
170,1,6,1
171,1,10,4
172,1,10,3
173,1,5,7
173,1,10,5
173,1,6,1
174,1,6,1
174,1,10,1
175,1,6,5
175,1,1,2
175,1,10,1
175,1,13,1
176,1,5,21
176,1,10,12
176,1,2,3
176,1,1,1
176,1,12,1
176,4,0,1
177,1,10,5
177,1,1,1
177,4,1,1
178,1,10,3
178,1,13,1
179,1,13,4
179,1,6,3
179,1,5,2
180,1,5,1
180,1,6,1
180,1,13,1
181,1,10,5
181,1,0,1
181,1,5,1
182,1,10,3
182,1,5,1
182,1,8,1
182,1,12,1
182,1,13,1
183,1,10,2
183,1,0,1
183,1,56,1
184,1,10,7
184,1,1,1
184,1,5,1
185,1,10,8
185,1,6,3
185,1,13,1
186,1,10,5
186,1,5,2
187,1,10,2
188,1,10,3
188,1,5,2
189,1,6,2
189,1,7,1
190,1,6,4
190,1,5,1
190,1,10,1
191,1,10,4
192,1,10,9
192,1,1,4
192,1,13,1
193,1,13,2
193,1,6,1
193,1,10,1
194,1,10,4
194,1,6,3
194,1,1,1
194,1,2,1
195,1,10,2
196,1,10,3
196,4,2,1
196,4,13,1
197,1,6,9
197,1,10,8
197,4,13,2
197,4,1,1
198,1,7,4
198,1,10,3
198,1,1,1
199,1,7,8
199,1,6,4
199,1,10,3
199,1,5,2
199,1,1,1
199,4,5,2
200,1,10,5
200,1,13,1
201,1,10,13
202,1,10,10
202,1,1,2
202,1,13,1
203,1,10,8
204,1,10,4
204,1,6,2
204,1,5,1
205,1,10,8
206,1,10,3
206,1,1,1
206,1,2,1
206,1,6,1
206,1,13,1
207,1,10,6
207,1,0,1
207,1,5,1
207,1,13,1
207,4,8,1
208,1,10,4
208,1,1,1
208,1,5,1
209,1,10,16
209,1,5,1
209,2,10,1
210,1,10,2
210,1,8,1
211,1,10,7
211,1,5,3
211,1,6,1
211,2,10,1
212,1,10,3
212,1,5,1
212,1,6,1
212,1,13,1
213,1,10,7
213,1,1,3
213,1,6,3
213,4,1,2
214,1,10,1
214,4,5,2
214,4,2,1
215,1,10,3
215,1,5,2
215,1,13,2
216,1,6,2
216,1,10,2
217,1,5,2
217,1,10,2
217,4,13,1
218,1,10,3
218,1,6,2
218,1,1,1
218,1,13,1
218,4,13,1
219,1,10,3
219,1,1,1
219,1,6,1
220,1,6,5
220,1,1,2
220,1,10,2
221,1,10,2
221,1,5,1
222,1,10,5
222,1,1,2
223,1,10,5
224,1,7,7
224,1,10,4
224,1,6,2
224,1,1,1
225,1,0,2
225,1,5,1
225,1,10,1
226,1,6,1
226,1,10,1
226,1,13,1
227,1,7,3
227,1,6,1
227,1,10,1
227,1,13,1
228,1,10,4
228,1,13,1
229,1,10,5
229,1,5,2
229,1,1,1
229,1,2,1
229,1,32,1
230,1,5,2
230,1,10,2
230,1,1,1
230,1,6,1
231,1,10,5
231,1,13,3
231,1,0,1
231,1,2,1
231,1,6,1
232,1,10,7
232,1,5,1
233,1,10,8
233,1,1,2
233,1,6,2
233,1,13,2
234,1,5,1
234,1,6,1
235,1,10,4
235,1,5,3
235,1,32,1
235,3,5,1
236,1,10,2
236,1,1,1
237,1,6,1
238,1,10,12
238,1,6,3
238,1,1,1
238,1,5,1
239,1,10,6
239,1,0,1
240,1,5,5
240,1,10,5
240,1,13,2
240,1,6,1
241,1,10,4
241,4,1,1
242,1,0,2
242,1,6,1
243,1,10,5
244,1,6,9
244,1,7,6
244,1,10,4
244,1,5,3
244,1,13,3
244,1,1,2
245,1,10,6
245,1,5,2
245,1,2,1
246,1,10,3
246,1,0,1
246,1,1,1
246,1,8,1
247,1,10,10
247,1,5,4
247,1,6,3
247,1,13,3
247,1,0,1
247,4,2,1
248,1,6,7
248,1,10,4
248,1,5,2
248,1,1,1
248,2,10,2
249,1,10,12
249,1,0,1
249,1,1,1
249,1,5,1
249,4,1,1
250,1,10,2
250,1,5,1
251,1,5,4
251,1,10,4
251,1,2,2
251,1,13,1
252,1,10,2
252,1,12,1
253,1,10,2
253,1,0,1
253,1,1,1
253,1,5,1
253,1,6,1
254,1,6,2
254,1,10,2
254,1,1,1
255,1,10,4
255,1,5,2
255,1,1,1
255,1,13,1
255,1,32,1
256,1,1,2
256,1,5,2
256,1,10,2
256,1,6,1
256,4,2,3
257,1,10,15
257,1,6,4
257,1,2,2
257,1,0,1
257,1,12,1
257,4,12,1
258,1,5,1
258,1,10,1
259,1,10,4
260,1,10,9
260,1,5,2
260,1,17,1
261,1,10,2
261,4,13,1
262,1,10,4
262,1,5,1
262,4,13,1
263,1,10,6
263,1,6,2
264,1,10,5
265,1,10,6
265,1,5,2
265,1,13,2
265,1,6,1
266,1,10,1
267,1,10,7
267,1,1,3
267,1,7,2
268,1,10,5
269,1,17,2
269,1,1,1
269,1,6,1
269,1,10,1
269,3,17,1
269,4,17,3
270,1,5,4
270,1,10,4
270,1,1,2
270,1,0,1
271,1,13,2
271,1,0,1
271,1,2,1
271,1,5,1
271,1,6,1
271,1,10,1
272,1,10,4
273,1,10,5
273,1,2,2
274,1,6,4
274,1,10,3
274,1,1,1
274,1,5,1
275,1,10,3
276,1,10,6
276,4,2,2
276,4,5,1
277,1,10,4
277,1,5,1
278,1,10,4
278,1,0,2
278,1,5,2
279,1,10,2
279,1,6,1
280,1,10,5
281,1,10,2
281,4,2,1
282,1,10,7
282,1,1,2
282,1,0,1
282,1,6,1
282,4,1,1
283,1,5,2
283,1,10,2
284,1,10,4
285,1,0,1
285,1,10,1
285,4,0,2
286,1,10,3
286,1,13,1
287,1,13,2
287,1,0,1
287,1,2,1
287,1,5,1
287,1,6,1
287,1,10,1
288,1,8,2
288,1,10,2
288,1,0,1
289,1,10,3
290,1,6,3
290,1,10,2
291,1,10,3
291,1,1,1
291,1,6,1
291,1,13,1
292,1,10,7
292,1,0,1
292,1,2,1
292,1,6,1
293,1,10,6
293,1,5,3
293,1,12,1
293,4,5,1
294,1,10,7
294,1,6,3
294,1,2,2
295,1,10,8
296,1,10,3
296,1,13,1
297,1,10,3
298,1,6,3
298,1,10,2
299,1,10,9
299,1,5,2
299,1,6,2
299,1,13,1
300,1,10,1
300,1,12,1
300,4,1,2
301,1,10,8
301,1,5,4
301,1,1,2
301,1,6,1
301,1,13,1
301,4,5,1
302,1,10,9
302,1,2,1
303,1,6,1
304,1,10,3
305,1,1,2
305,1,10,2
305,1,2,1
305,1,13,1
306,1,10,7
306,1,5,1
306,1,12,1
306,1,13,1
307,1,10,3
307,1,5,1
308,1,6,3
308,1,10,2
308,1,1,1
308,4,13,1
309,1,10,11
309,1,1,3
310,1,10,6
310,1,5,2
310,1,0,1
310,1,6,1
311,1,10,5
312,1,10,6
312,1,12,1
313,1,10,14
313,1,9,1
314,1,6,1
314,1,53,1
315,1,10,4
316,1,10,5
316,1,7,2
316,1,1,1
316,1,13,1
317,1,5,1
317,1,6,1
317,1,10,1
318,1,10,14
318,1,1,1
319,1,6,6
319,1,10,4
320,1,10,2
321,1,5,6
321,1,10,6
322,1,6,5
322,1,10,4
322,1,32,1
323,1,10,12
323,2,10,1
324,1,10,3
324,1,1,1
324,1,5,1
324,1,13,1
325,1,10,4
325,1,6,3
326,1,10,5
326,1,1,2
326,1,5,1
326,1,13,1
327,1,6,2
327,1,10,2
328,1,10,1
328,1,13,1
329,1,10,3
329,1,13,1
330,1,10,4
330,1,53,1
331,1,10,2
332,1,10,6
332,1,1,1
332,4,2,1
333,1,1,5
333,1,10,5
333,1,6,3
333,1,51,1
334,1,10,2
334,1,7,1
334,4,8,1
335,1,10,10
335,1,5,3
336,1,5,2
336,1,10,2
337,1,13,2
337,1,1,1
337,1,6,1
337,1,10,1
337,4,1,1
338,1,6,14
338,1,0,5
338,1,1,4
338,1,10,2
338,1,7,1
338,1,13,1
338,1,32,1
338,4,1,1
338,4,13,1
339,1,10,13
339,1,1,1
340,1,10,3
340,1,5,1
341,1,6,6
341,1,10,3
341,1,0,1
342,1,10,7
342,1,2,1
342,1,5,1
342,1,6,1
343,1,10,12
343,1,6,6
343,1,1,2
343,1,5,2
344,1,10,2
345,1,6,5
345,1,5,3
345,1,1,2
345,1,13,2
345,1,0,1
346,1,10,3
346,1,6,1
347,1,10,9
347,1,1,3
347,1,6,2
347,1,2,1
347,4,2,1
348,1,10,2
349,1,10,6
349,1,6,1
349,4,2,2
350,1,6,4
350,1,10,3
350,1,13,2
350,1,7,1
350,1,32,1
351,1,10,2
352,1,6,3
352,1,10,2
353,1,10,13
353,1,5,5
353,1,1,2
353,2,10,2
354,1,6,5
354,1,1,3
354,1,10,1
355,1,10,2
355,1,1,1
355,4,2,1
356,1,10,7
356,1,13,2
356,1,2,1
356,1,6,1
356,1,15,1
356,4,2,1
357,1,10,5
357,1,5,2
357,1,7,2
357,1,13,1
358,1,10,6
359,1,10,4
360,1,10,6
360,1,6,3
360,1,1,1
361,1,10,3
362,1,10,1
363,1,10,14
364,1,10,3
364,1,5,1
365,1,10,2
366,1,10,5
366,1,5,4
366,1,13,2
366,1,0,1
367,1,10,6
367,1,5,1
367,1,7,1
367,4,2,1
368,1,10,6
368,1,5,2
368,1,0,1
368,1,1,1
369,1,10,6
369,1,5,1
369,1,6,1
370,1,10,3
370,1,1,2
370,1,13,2
370,1,0,1
370,1,5,1
371,1,10,2
371,1,0,1
372,1,6,3
372,1,13,1
373,1,5,1
373,1,10,1
373,1,13,1
374,1,10,5
374,1,2,1
375,1,10,11
375,1,5,2
375,1,6,2
375,1,2,1
375,1,13,1
375,2,10,1
376,1,10,2
376,1,5,1
377,1,10,3
378,1,10,6
378,1,5,2
378,1,13,1
379,1,6,5
379,1,10,3
379,4,1,2
380,1,5,2
380,1,0,1
380,1,7,1
381,1,10,8
381,1,6,2
382,1,10,2
382,1,6,1
383,1,10,15
383,1,6,2
383,1,5,1
383,1,7,1
383,1,13,1
383,4,2,1
384,1,10,3
384,1,0,1
384,1,5,1
385,1,10,2
385,1,5,1
385,1,6,1
386,1,5,5
386,1,10,3
387,1,6,7
387,1,5,1
387,1,13,1
387,1,32,1
388,1,6,3
388,1,10,1
389,1,5,1
389,1,10,1
390,1,10,7
391,1,10,2
391,1,5,1
391,1,32,1
392,1,10,4
392,1,5,1
392,1,13,1
393,1,10,9
393,2,10,1
393,4,13,1
394,1,10,13
394,1,1,1
394,1,2,1
394,1,5,1
394,1,13,1
395,1,10,4
395,1,0,1
395,1,6,1
396,1,10,5
396,1,6,4
396,1,13,2
396,1,1,1
396,1,5,1
397,1,5,5
397,1,10,4
397,1,1,1
398,1,10,8
398,1,1,1
398,1,5,1
398,2,10,1
399,1,10,3
399,1,5,2
399,1,0,1
399,1,1,1
399,4,2,1
400,1,10,6
400,1,5,5
400,1,6,2
400,1,1,1
400,1,13,1
401,1,5,2
401,1,10,2
402,1,10,5
402,1,6,3
402,1,1,1
402,1,5,1
402,1,13,1
403,1,10,10
403,1,6,1
404,1,10,14
404,1,6,5
404,1,1,1
404,1,2,1
404,1,5,1
404,1,12,1
405,1,10,3
405,1,6,1
406,1,10,6
406,1,5,3
406,1,13,1
407,1,10,6
407,1,1,4
407,1,5,4
407,1,6,2
408,1,10,25
408,1,2,2
408,1,6,2
408,3,51,2
408,4,1,1
409,1,10,12
409,1,5,2
409,1,0,1
409,1,1,1
409,1,6,1
410,1,10,2
410,1,13,1
411,1,10,5
411,1,6,3
411,1,13,1
411,1,32,1
412,1,10,10
412,1,5,2
412,1,13,2
413,1,10,5
413,1,13,5
413,1,6,3
413,1,1,2
413,1,5,1
414,1,10,2
414,1,13,1
414,4,2,1
415,1,10,3
416,1,5,1
416,1,10,1
417,1,6,4
417,1,10,4
418,1,5,6
418,1,6,6
418,1,7,6
418,1,10,4
418,1,51,1
418,2,10,1
418,4,1,3
419,1,6,3
419,1,10,1
419,1,13,1
420,1,10,4
420,1,5,1
420,1,6,1
421,1,10,10
421,1,5,2
422,1,10,14
422,1,6,4
422,1,15,4
423,1,10,8
423,1,5,3
423,1,7,1
423,1,12,1
423,4,2,1
424,1,10,1
425,1,10,10
425,1,6,2
425,1,5,1
425,1,32,1
426,1,10,2
427,1,10,2
428,1,10,4
429,1,10,6
430,1,7,4
430,1,1,2
430,1,10,1
430,3,1,1
431,1,10,4
431,1,17,2
431,1,51,1
432,1,10,3
432,1,5,1
433,1,10,16
433,1,6,6
433,1,1,3
433,1,5,3
433,1,13,2
433,1,12,1
434,1,1,6
434,1,10,4
434,1,0,2
434,4,2,2
435,1,10,4
435,1,1,1
435,1,6,1
435,1,13,1
436,1,10,5
436,1,0,1
436,1,5,1
436,4,2,1
437,1,10,3
437,1,6,1
438,1,10,2
438,1,1,1
438,1,5,1
438,2,10,1
438,4,2,1
439,1,1,1
439,1,6,1
439,1,13,1
440,1,1,4
440,1,10,3
441,1,7,1
441,1,10,1
441,4,5,2
442,1,10,3
442,4,5,1
443,1,1,1
443,1,6,1
443,1,10,1
444,1,10,5
444,1,6,2
444,2,10,1
445,2,10,1
445,4,2,1
446,1,10,16
446,1,5,1
446,1,6,1
447,1,10,4
447,1,1,1
447,1,5,1
448,1,5,3
448,1,10,2
449,1,10,4
449,1,5,3
449,1,0,1
449,1,1,1
449,1,2,1
449,1,13,1
450,1,10,2
450,1,6,1
451,1,10,3
451,1,5,1
452,1,6,1
453,1,10,3
453,1,6,2
454,1,10,5
454,1,5,3
454,1,1,1
454,1,6,1
454,4,13,1
455,1,1,4
455,1,6,3
455,1,10,3
455,1,13,1
455,4,1,1
455,4,17,1
456,1,10,6
456,1,2,1
456,1,6,1
456,1,13,1
456,2,10,1
457,1,10,4
457,1,5,1
458,1,10,3
458,1,5,1
459,1,10,5
459,1,6,1
460,1,10,6
460,1,5,4
460,1,2,1
460,1,7,1
460,1,12,1
460,1,13,1
461,1,10,4
461,1,5,3
461,1,6,1
462,1,6,6
462,1,10,4
462,1,13,2
463,1,10,9
463,1,5,4
463,1,6,3
463,1,1,2
463,3,17,2
463,4,1,1
463,4,5,1
464,1,10,2
465,1,10,5
465,1,8,1
465,2,10,1
465,4,8,1
466,1,10,3
467,1,10,2
468,1,10,6
468,1,5,2
468,1,6,1
468,4,2,1
469,1,10,1
470,1,10,10
470,1,1,2
470,4,3,1
471,1,10,3
471,1,5,1
472,1,10,10
472,1,5,8
472,1,6,4
472,1,1,2
472,1,13,2
473,1,10,15
473,1,1,1
473,4,1,1
474,1,10,4
474,1,12,1
475,1,10,3
476,1,1,1
476,1,10,1
477,1,10,8
477,1,6,6
477,1,5,1
477,2,10,1
478,1,5,5
478,1,10,2
478,1,7,1
479,1,6,3
479,1,10,2
479,1,1,1
480,1,10,5
480,1,5,3
480,1,12,1
481,1,10,2
482,1,10,3
482,1,0,1
482,4,2,1
483,1,6,1
484,1,10,5
484,1,5,2
484,1,6,1
484,1,13,1
485,1,10,13
485,1,1,1
485,2,10,2
486,1,10,3
487,1,10,9
487,1,5,1
487,1,6,1
487,1,13,1
488,1,10,2
488,1,13,1
488,4,13,1
489,1,10,5
490,1,10,3
490,4,2,1
491,1,10,7
491,1,0,1
491,4,2,1
492,1,10,18
492,1,0,6
492,1,1,2
492,1,6,2
493,1,10,6
493,1,5,2
494,1,10,4
495,1,10,2
495,1,5,1
496,1,10,4
496,1,5,1
497,1,10,5
497,1,0,1
497,1,5,1
497,1,6,1
498,1,10,3
498,1,5,1
499,1,10,4
499,1,5,2
499,1,13,1
500,1,10,10
500,1,1,1
500,1,2,1
500,1,5,1
500,1,6,1
500,4,2,1
501,1,2,1
502,1,5,6
502,1,10,6
502,1,0,1
502,1,13,1
503,1,10,2
504,1,10,5
504,1,13,2
504,1,2,1
504,4,2,3
505,1,10,6
505,1,13,3
506,1,10,4
506,1,6,1
507,1,10,5
507,1,0,1
507,1,32,1
508,1,10,1
509,1,5,4
509,1,10,4
509,1,13,2
510,1,6,3
510,1,10,3
511,1,10,7
511,1,5,4
512,1,6,1
512,1,32,1
513,1,10,3
514,1,10,2
514,1,6,1
515,1,6,5
515,1,5,3
515,1,0,2
515,1,10,1
515,4,2,1
516,1,6,3
516,1,10,3
516,1,0,1
516,1,1,1
517,1,10,12
517,1,5,2
517,1,6,2
517,1,13,1
518,1,10,1
519,1,10,4
519,1,6,1
519,4,2,1
520,1,10,3
520,1,6,1
521,1,13,2
521,1,0,1
521,1,7,1
521,1,10,1
522,1,0,1
522,1,10,1
523,1,10,2
523,1,13,1
524,1,10,3
524,1,6,2
525,1,6,1
525,4,7,3
525,4,12,1
526,1,10,7
526,1,5,2
527,1,5,1
527,1,10,1
528,1,6,7
528,1,10,5
528,1,13,2
528,1,1,1
529,1,10,2
529,1,5,1
530,1,10,2
530,4,2,1
530,4,13,1
531,1,6,5
531,1,10,4
531,1,13,2
531,1,5,1
532,1,10,4
532,1,5,1
533,1,10,9
533,1,5,1
533,1,6,1
533,1,13,1
534,1,2,2
534,1,10,2
535,1,10,6
535,4,13,1
536,1,10,4
536,1,5,1
536,1,6,1
537,1,10,6
537,1,1,1
537,1,6,1
537,1,13,1
538,1,10,5
539,1,10,12
539,1,5,7
539,1,1,3
539,1,0,1
539,1,12,1
539,1,51,1
539,2,10,1
539,3,5,1
539,3,51,1
539,4,1,1
539,4,51,1
540,1,10,2
540,1,0,1
540,1,5,1
541,1,10,2
541,1,0,1
541,1,5,1
542,1,10,5
542,1,5,1
542,1,13,1
543,1,10,6
543,4,2,1
544,1,5,1
544,1,6,1
544,4,5,1
545,1,10,3
545,1,5,1
546,1,10,6
546,1,1,1
546,4,1,1
547,1,5,2
547,1,10,1
548,1,10,1
549,1,10,10
549,1,5,1
549,1,6,1
549,2,10,2
549,4,2,1
550,1,10,5
550,1,0,1
550,1,1,1
550,1,5,1
550,1,6,1
550,1,12,1
551,1,6,4
551,1,10,4
552,1,10,2
553,1,10,11
554,1,10,10
554,1,5,2
554,1,6,1
555,1,10,5
555,1,2,2
555,1,5,2
555,4,2,1
556,1,10,3
556,1,6,2
556,1,13,1
557,1,6,3
557,1,10,3
557,1,5,1
558,1,10,15
558,1,6,3
558,1,1,2
558,4,2,1
559,1,10,2
559,1,6,1
560,1,10,9
560,1,5,5
560,1,1,2
560,1,6,2
560,1,13,1
560,4,17,1
561,1,10,6
